source,target,edge_type,confidence,evidence_source,notes
NBR_FAR,P_P024,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P024,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P025,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P026,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P026,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P027,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P028,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P029,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P030,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P031,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P032,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P033,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P034,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P035,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P036,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P037,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P038,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P039,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P040,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P041,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P042,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P043,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P044,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P045,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P046,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P047,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P048,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P049,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P050,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P051,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P052,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P053,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P054,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P055,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P056,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P057,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P058,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P059,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P060,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P060,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P061,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P062,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P063,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P064,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P065,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P066,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P067,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P068,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P069,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P070,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P071,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P072,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P073,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P074,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
P_P001,F15,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P002,F03,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P003,F19,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P003,F20,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P004,F11,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P004,F19,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P005,F11,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P005,F04,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P005,F13,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P006,F19,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P006,F18,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P007,F10,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P007,F15,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P007,F19,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P010,F04,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P011,F04,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P011,F19,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P012,F03,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P012,F19,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P013,F08,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P013,F05,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P013,F15,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P013,F19,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P013,F18,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P014,F20,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P015,F13,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P016,F11,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P016,F13,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P016,F19,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P017,F04,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P017,F03,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P017,F19,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P017,F02,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P018,F10,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P018,F01,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P018,F19,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P018,F18,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P018,F20,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P019,F02,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P020,F08,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P020,F07,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P020,F15,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P021,F03,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P022,F04,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P022,F07,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P023,F04,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P023,F07,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P023,F01,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P023,F18,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P023,F09,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P023,F20,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P024,F11,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P024,F04,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P025,F15,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P025,F19,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P025,F12,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P026,F05,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P026,F07,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P027,F01,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P027,F03,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P027,F20,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P028,F11,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P028,F05,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P028,F07,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P028,F01,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P028,F13,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P028,F12,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P028,F02,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P028,F20,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P031,F19,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P032,F15,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P033,F08,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P033,F19,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P033,F16,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P033,F02,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P034,F07,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P034,F01,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P034,F20,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P035,F08,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P035,F15,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P035,F19,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P036,F19,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P037,F08,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P037,F04,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P037,F18,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P038,F13,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P038,F12,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P039,F04,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P039,F19,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P040,F08,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P040,F04,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P040,F15,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P040,F19,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P042,F19,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P043,F08,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P043,F19,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P044,F07,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P044,F03,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P048,F05,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P048,F01,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P048,F03,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P048,F02,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P049,F04,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P049,F13,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P050,F07,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P050,F19,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P050,F12,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P051,F04,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P051,F19,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P052,F18,addresses_within,LOW,E02;E27;E25,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P052,F20,addresses_within,LOW,E02;E27;E25,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P055,F11,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P055,F07,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P056,F12,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P057,F19,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P058,F19,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P058,F09,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P059,F11,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P059,F19,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P059,F14,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P059,F12,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P060,F08,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P060,F11,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P060,F20,addresses_within,LOW,E01;E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P061,F08,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P061,F05,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P061,F04,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P062,F11,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P062,F15,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P062,F19,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P062,F02,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P063,F08,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P063,F04,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P063,F16,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P063,F18,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P063,F14,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P063,F17,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P064,F20,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P065,F19,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P066,F15,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P066,F19,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P067,F08,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P067,F07,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P067,F18,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P067,F09,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P068,F07,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P068,F01,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P068,F18,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P069,F11,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P069,F13,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P069,F19,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P069,F17,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P070,F12,addresses_within,LOW,E02;E27;E26,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P070,F11,addresses_within,LOW,E02;E27;E26,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P071,F08,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P071,F15,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P071,F18,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P071,F12,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P072,F15,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P072,F19,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P073,F19,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P073,F12,addresses_within,LOW,E01;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P074,F10,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P074,F18,addresses_within,LOW,E02;E27,Title/abstract metadata screening; high-relevance mechanisms are separately primary-verified.
P_P028,A_FAR,describes,HIGH,E03;E04,Fixed anchor identity.
P_P063,A_SPIKE,describes,HIGH,E05;E06,Fixed anchor identity.
A_FAR,C_FAR_ENCODER,uses_mechanism,HIGH,E03;E04,Paper/code distinction documented in the FARTrack analysis.
A_FAR,C_FAR_COMMAND,uses_mechanism,HIGH,E03;E04,Paper/code distinction documented in the FARTrack analysis.
