record_id,record_type,dataset,provider,provider_record_or_file_id,display_name_or_sequence,external_path,byte_count_or_na,md5_or_na,sha256_or_na,frame_count_or_na,ground_truth_filename_or_na,status,evidence_source,notes
E2-OTB-004,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Bird2,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Bird2\img,NA,NA,NA,99,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Bird2/img; evaluator_anno_path=Bird2/groundtruth_rect.txt; effective_range=1-99; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Bird2\groundtruth_rect.txt
E2-OTB-005,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,BlurBody,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\BlurBody\img,NA,NA,NA,334,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=BlurBody/img; evaluator_anno_path=BlurBody/groundtruth_rect.txt; effective_range=1-334; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\BlurBody\groundtruth_rect.txt
E2-OTB-006,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,BlurCar1,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\BlurCar1\img,NA,NA,NA,742,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=BlurCar1/img; evaluator_anno_path=BlurCar1/groundtruth_rect.txt; effective_range=247-988; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\BlurCar1\groundtruth_rect.txt
E2-OTB-007,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,BlurCar2,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\BlurCar2\img,NA,NA,NA,585,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=BlurCar2/img; evaluator_anno_path=BlurCar2/groundtruth_rect.txt; effective_range=1-585; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\BlurCar2\groundtruth_rect.txt
E2-OTB-008,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,BlurCar3,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\BlurCar3\img,NA,NA,NA,357,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=BlurCar3/img; evaluator_anno_path=BlurCar3/groundtruth_rect.txt; effective_range=3-359; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\BlurCar3\groundtruth_rect.txt
E2-OTB-009,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,BlurCar4,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\BlurCar4\img,NA,NA,NA,380,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=BlurCar4/img; evaluator_anno_path=BlurCar4/groundtruth_rect.txt; effective_range=18-397; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\BlurCar4\groundtruth_rect.txt
E2-OTB-010,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,BlurFace,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\BlurFace\img,NA,NA,NA,493,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=BlurFace/img; evaluator_anno_path=BlurFace/groundtruth_rect.txt; effective_range=1-493; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\BlurFace\groundtruth_rect.txt
E2-OTB-011,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,BlurOwl,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\BlurOwl\img,NA,NA,NA,631,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=BlurOwl/img; evaluator_anno_path=BlurOwl/groundtruth_rect.txt; effective_range=1-631; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\BlurOwl\groundtruth_rect.txt
E2-OTB-012,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Board,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Board\img,NA,NA,NA,698,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Board/img; evaluator_anno_path=Board/groundtruth_rect.txt; effective_range=1-698; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Board\groundtruth_rect.txt
E2-OTB-013,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Bolt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Bolt\img,NA,NA,NA,350,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Bolt/img; evaluator_anno_path=Bolt/groundtruth_rect.txt; effective_range=1-350; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Bolt\groundtruth_rect.txt
E2-OTB-014,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Bolt2,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Bolt2\img,NA,NA,NA,293,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Bolt2/img; evaluator_anno_path=Bolt2/groundtruth_rect.txt; effective_range=1-293; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Bolt2\groundtruth_rect.txt
E2-OTB-015,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Box,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Box\img,NA,NA,NA,1161,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Box/img; evaluator_anno_path=Box/groundtruth_rect.txt; effective_range=1-1161; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Box\groundtruth_rect.txt
E2-OTB-016,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Boy,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Boy\img,NA,NA,NA,602,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Boy/img; evaluator_anno_path=Boy/groundtruth_rect.txt; effective_range=1-602; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Boy\groundtruth_rect.txt
E2-OTB-017,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Car1,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Car1\img,NA,NA,NA,1020,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Car1/img; evaluator_anno_path=Car1/groundtruth_rect.txt; effective_range=1-1020; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Car1\groundtruth_rect.txt
E2-OTB-018,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Car2,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Car2\img,NA,NA,NA,913,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Car2/img; evaluator_anno_path=Car2/groundtruth_rect.txt; effective_range=1-913; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Car2\groundtruth_rect.txt
E2-OTB-019,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Car24,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Car24\img,NA,NA,NA,3059,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Car24/img; evaluator_anno_path=Car24/groundtruth_rect.txt; effective_range=1-3059; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Car24\groundtruth_rect.txt
E2-OTB-020,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Car4,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Car4\img,NA,NA,NA,659,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Car4/img; evaluator_anno_path=Car4/groundtruth_rect.txt; effective_range=1-659; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Car4\groundtruth_rect.txt
E2-OTB-021,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,CarDark,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\CarDark\img,NA,NA,NA,393,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=CarDark/img; evaluator_anno_path=CarDark/groundtruth_rect.txt; effective_range=1-393; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\CarDark\groundtruth_rect.txt
E2-OTB-022,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,CarScale,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\CarScale\img,NA,NA,NA,252,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=CarScale/img; evaluator_anno_path=CarScale/groundtruth_rect.txt; effective_range=1-252; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\CarScale\groundtruth_rect.txt
E2-OTB-023,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,ClifBar,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\ClifBar\img,NA,NA,NA,472,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=ClifBar/img; evaluator_anno_path=ClifBar/groundtruth_rect.txt; effective_range=1-472; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\ClifBar\groundtruth_rect.txt
E2-OTB-024,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Coke,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Coke\img,NA,NA,NA,291,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Coke/img; evaluator_anno_path=Coke/groundtruth_rect.txt; effective_range=1-291; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Coke\groundtruth_rect.txt
E2-OTB-025,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Couple,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img,NA,NA,NA,140,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Couple/img; evaluator_anno_path=Couple/groundtruth_rect.txt; effective_range=1-140; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\groundtruth_rect.txt
E2-OTB-026,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Coupon,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Coupon\img,NA,NA,NA,327,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Coupon/img; evaluator_anno_path=Coupon/groundtruth_rect.txt; effective_range=1-327; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Coupon\groundtruth_rect.txt
E2-OTB-027,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Crossing,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img,NA,NA,NA,120,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Crossing/img; evaluator_anno_path=Crossing/groundtruth_rect.txt; effective_range=1-120; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\groundtruth_rect.txt
E2-OTB-028,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Crowds,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crowds\img,NA,NA,NA,347,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Crowds/img; evaluator_anno_path=Crowds/groundtruth_rect.txt; effective_range=1-347; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crowds\groundtruth_rect.txt
E2-OTB-029,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Dancer,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Dancer\img,NA,NA,NA,225,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Dancer/img; evaluator_anno_path=Dancer/groundtruth_rect.txt; effective_range=1-225; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Dancer\groundtruth_rect.txt
E2-OTB-030,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Dancer2,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Dancer2\img,NA,NA,NA,150,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Dancer2/img; evaluator_anno_path=Dancer2/groundtruth_rect.txt; effective_range=1-150; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Dancer2\groundtruth_rect.txt
