provisional_id,candidate_scope,source_type,title,authors,year,venue_or_status,stable_url,official_repo_if_any,collision_class,used_for,important_limit
HG6N1-P11,"CX007;CX013",peer_reviewed_conference,"A Distractor-Aware Memory for Visual Object Tracking with SAM2","Jovana Videnovic; Alan Lukezic; Matej Kristan",2025,"CVPR 2025","https://openaccess.thecvf.com/content/CVPR2025/html/Videnovic_A_Distractor-Aware_Memory_for_Visual_Object_Tracking_with_SAM2_CVPR_2025_paper.html","https://github.com/jovanavidenovic/DAM4SAM",PARTIAL_COLLISION,"distractor introspection and reliability-aware memory updates","segmentation-memory update; does not allocate SpikeTrack MRMs or establish physical template compute utility"
HG6N1-P12,CX007,peer_reviewed_conference,"Learning Target Candidate Association To Keep Track of What Not To Track","Christoph Mayer; Martin Danelljan; Danda Pani Paudel; Luc Van Gool",2021,"ICCV 2021","https://openaccess.thecvf.com/content/ICCV2021/html/Mayer_Learning_Target_Candidate_Association_To_Keep_Track_of_What_Not_ICCV_2021_paper.html","",ADJACENT_PRIOR_ART,"target-distractor association and update confidence","tracks candidates rather than conditionally allocating retrieval compute"
HG6N1-P13,CX007,peer_reviewed_conference,"Distractor-aware Siamese Networks for Visual Object Tracking","Zheng Zhu; Qiang Wang; Bo Li; Wei Wu; Junjie Yan; Weiming Hu",2018,"ECCV 2018","https://openaccess.thecvf.com/content_ECCV_2018/html/Zheng_Zhu_Distractor-aware_Siamese_Networks_ECCV_2018_paper.html","",ADJACENT_PRIOR_ART,"foundational distractor-aware SOT","discriminative sampling/online adaptation; no adaptive compute or MRM selection"
HG6N1-P14,CX013,peer_reviewed_journal,"ATPTrack: Visual Tracking with Alternating Token Pruning of Dynamic Templates and Search Region","Shuo Zhang; Dan Zhang; Qi Zou",2025,"Neurocomputing 625:129534","https://doi.org/10.1016/j.neucom.2025.129534","",PARTIAL_COLLISION,"physical dynamic-template token pruning for robustness and compute","fixed template inventory and pruning schedule; no calibrated whole-template validity or post-disappearance active-count policy"
HG6N1-P15,CX013,peer_reviewed_conference,"UTPTrack: Towards Simple and Unified Token Pruning for Visual Tracking","Hao Wu; Xudong Wang; Jialiang Zhang; Junlong Tong; Xinghao Chen; Junyan Lin; Yunpu Ma; Xiaoyu Shen",2026,"CVPR 2026","https://openaccess.thecvf.com/content/CVPR2026/html/Wu_UTPTrack_Towards_Simple_and_Unified_Token_Pruning_for_Visual_Tracking_CVPR_2026_paper.html","https://github.com/EIT-NLP/UTPTrack",PARTIAL_COLLISION,"physical pruning of search/static/dynamic template tokens including occlusion-noisy dynamic tokens","dual-template fixed retention ratios; no validity-calibrated variable active template quantity"
HG6N1-P16,CX013,peer_reviewed_conference,"An Efficient Token Compression Framework for Visual Object Tracking","Weijing Wu; Qihua Liang; Bineng Zhong; Haiying Xia; Zhiyi Mo; Shuxiang Song",2026,"CVPR 2026","https://openaccess.thecvf.com/content/CVPR2026/html/Wu_An_Efficient_Token_Compression_Framework_for_Visual_Object_Tracking_CVPR_2026_paper.html","https://github.com/PJD-WJ/ETCTrack",PARTIAL_COLLISION,"learned physical compression of historical-template tokens for robustness and MAC reduction","fixed compression level; paper identifies fully scenario-dynamic compression as future work"
HG6N1-P17,CX013,peer_reviewed_conference,"Exploring Reliable Spatiotemporal Dependencies for Efficient Visual Tracking","Junze Shi; Yang Yu; Jian Shi; Haibo Luo",2026,"AAAI 2026","https://ojs.aaai.org/index.php/AAAI/article/view/37853","",PARTIAL_COLLISION,"quality score and physical eviction of the lowest-quality historical token","fixed memory capacity N; paper explicitly does not use compression/pruning for faster inference"
HG6N1-P18,CX013,peer_reviewed_conference,"Drift-Resilient Temporal Priors for Visual Tracking","Yuqing Huang; Liting Lin; Weijun Zhuang; Zhenyu He; Xin Li",2026,"CVPR 2026","https://openaccess.thecvf.com/content/CVPR2026/html/Huang_Drift-Resilient_Temporal_Priors_for_Visual_Tracking_CVPR_2026_paper.html","https://github.com/NorahGreen/DTPTrack",PARTIAL_COLLISION,"per-frame temporal reliability calibration and compact dynamic priors","fixed historical slots/compact priors; no physical active-template compute policy"
HG6N1-P19,CX013,peer_reviewed_journal,"UncTrack: Reliable Visual Object Tracking With Uncertainty-Aware Prototype Memory Network","Siyuan Yao; Yang Guo; Yanyang Yan; Wenqi Ren; Xiaochun Cao",2025,"IEEE Transactions on Image Processing 34","https://doi.org/10.1109/TIP.2025.3559796","https://github.com/ManOfStory/UncTrack",PARTIAL_COLLISION,"uncertainty-calibrated reliability and prototype-memory update","memory reliability rather than physical template/token compute reduction"
HG6N1-P20,CX013,peer_reviewed_journal,"DynaTrack: Dynamic Memory-Enhanced Transformer With Deformable Attention for Robust Single Object Tracking","K. S. Sachin Sakthi; Jae-Hoon Jeong; Woo Young Choi",2026,"IEEE Access; DOI-assigned accepted article","https://doi.org/10.1109/ACCESS.2026.3700286","",PARTIAL_COLLISION,"confidence-gated writes, lowest-confidence physical eviction, and extended-occlusion memory preservation","fixed maximum bank and separately efficient attention; no measured validity-to-active-compute causal coupling"
HG6N1-P21,CX013,arxiv_preprint,"BackTrack: Robust Template Update via Backward Tracking of Candidate Template","Dongwook Lee; Wonjun Choi; Seohyung Lee; ByungIn Yoo; Eunho Yang; Seongju Hwang",2023,"arXiv:2308.10604","https://arxiv.org/abs/2308.10604","",PARTIAL_COLLISION,"backward/cycle validation of candidate-template quality","arXiv-only; rejects writes but does not vary physical inference compute"
HG6N1-P22,CX013,peer_reviewed_journal,"Occlusion-Aware Visual Object Tracking with Explicit Temporal State Modeling and Dual-Memory Mechanism","Zhipeng Chen; Linning Peng; Tianyu Wang; Cheng Zeng; Yijin Pan; Jun-Bo Wang",2026,"Pattern Recognition 180(B):114155","https://doi.org/10.1016/j.patcog.2026.114155","https://github.com/ChaseFalcon99/OASAMT",PARTIAL_COLLISION,"explicit occlusion state, contamination-resistant dual memory, and post-occlusion recovery","SAM2/VOS-style memory; no physical compute reduction conditioned on template validity"
HG6N1-P23,CX013,peer_reviewed_conference,"Learning Quality-Aware Dynamic Memory for Video Object Segmentation","Yong Liu; Ran Yu; Fei Yin; Xinyuan Zhao; Wei Zhao; Weihao Xia; Yujiu Yang",2022,"ECCV 2022","https://www.ecva.net/papers/eccv_2022/papers_ECCV/html/4636_ECCV_2022_paper.php","https://github.com/yongliu20/QDMN",PARTIAL_COLLISION,"quality-aware selective memory and bounded long-video operation","adjacent VOS task; does not report FARTrack-style template-attention compute or active-template latency"
HG6N1-P24,CX013,peer_reviewed_conference,"RMem: Restricted Memory Banks Improve Video Object Segmentation","Junbao Zhou; Ziqi Pang; Yu-Xiong Wang",2024,"CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/html/Zhou_RMem_Restricted_Memory_Banks_Improve_Video_Object_Segmentation_CVPR_2024_paper.html","https://github.com/Restricted-Memory/RMem",PARTIAL_COLLISION,"physical bounded-memory selection improving robustness under redundant history","adjacent VOS task and fixed bank bound; no validity-calibrated variable compute"
HG6N1-P25,CX013,peer_reviewed_conference,"ODTrack: Online Dense Temporal Token Learning for Visual Tracking","Yaozong Zheng; Bineng Zhong; Qihua Liang; Zhiyi Mo; Shengping Zhang; Xianxian Li",2024,"AAAI 2024","https://ojs.aaai.org/index.php/AAAI/article/view/28591","https://github.com/GXNU-ZhongLab/ODTrack",ADJACENT_PRIOR_ART,"compact online temporal tokens and efficient historical representation","does not select/remove templates using validity or address post-occlusion active compute"
HG6N1-P26,CX013,peer_reviewed_conference,"Autoregressive Queries for Adaptive Tracking with Spatio-Temporal Transformers","Jinxia Xie; Bineng Zhong; Zhiyi Mo; Shengping Zhang; Liangtao Shi; Shuxiang Song; Rongrong Ji",2024,"CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/html/Xie_Autoregressive_Queries_for_Adaptive_Tracking_with_Spatio-Temporal_Transformers_CVPR_2024_paper.html","",ADJACENT_PRIOR_ART,"fixed-window autoregressive temporal memory in SOT","no reliability-conditioned template removal or compute adaptation"
HG6N1-P27,"CX007;CX013",peer_reviewed_conference,"Reading Relevant Feature from Global Representation Memory for Visual Object Tracking","Xinyu Zhou; Pinxue Guo; Lingyi Hong; Jinglun Li; Wei Zhang; Weifeng Ge; Wenqiang Zhang",2023,"NeurIPS 2023","https://proceedings.neurips.cc/paper_files/paper/2023/hash/2349293cb1bf2ce36d5c566f660f957e-Abstract-Conference.html","",PARTIAL_COLLISION,"search-conditioned selection of relevant historical reference tokens with reduced redundancy and compute","fixed memory/token quotas; no spiking MRM ambiguity interaction and no calibrated whole-template active count"
HG6N1-P28,CX007,peer_reviewed_conference,"MVLM: Template-Free Tracking via Vision-Language Margin Confidence and Memory-Gated Tracking","Dae-Hyeon Park; Mina Baek; Jeong-Hun Ha; Chan-Seop Park; Jamshidjon Ganiev; Seung-Hwan Bae",2026,"CVPR 2026","https://openaccess.thecvf.com/content/CVPR2026/html/Park_MVLM_Template-Free_Tracking_via_Vision-Language_Margin_Confidence_and_Memory-Gated_Tracking_CVPR_2026_paper.html","https://github.com/inha-vllab/MVLM",PARTIAL_COLLISION,"competitor-margin confidence gating of compact-local versus global search","language-only template-free tracker; does not select SpikeTrack MRM scales/templates"
HG6N1-P29,CX007,peer_reviewed_conference,"Efficient-SAM2: Accelerating SAM2 with Object-Aware Visual Encoding and Memory Retrieval","Jing Zhang; Zhikai Li; Xuewen Liu; Qingyi Gu",2026,"ICLR 2026","https://openreview.net/forum?id=HcivRSezJp","https://github.com/jingjing0419/Efficient-SAM2",PARTIAL_COLLISION,"object-aware sparse visual encoding and sparse memory-token retrieval","VOS saliency/temporal-consistency routing; no SpikeTrack MRM ambiguity-by-marginal-utility interaction"
HG6N1-P30,CX007,arxiv_preprint,"Uncertainty-Guided Inference-Time Depth Adaptation for Transformer-Based Visual Tracking","Patrick Poggi; Divake Kumar; Theja Tulabandhula; Amit Ranjan Trivedi",2026,"arXiv:2602.16160","https://arxiv.org/abs/2602.16160","",PARTIAL_COLLISION,"tracking-output uncertainty selects real encoder/decoder depth","generic uncertainty-conditioned tracker compute; no MRM or target-distractor causal decomposition"
HG6N1-P31,CX007,peer_reviewed_conference,"SpikeTrack: High-Performance and Energy-Efficient Event-Based Object Tracking with Spiking Neural Network","Yang Wang; Jiqing Zhang; Chuanyu Sun; Qianhui Liu; Huilin Ge; Ziqi Wei; Xin Yang",2026,"CVPR 2026","https://openaccess.thecvf.com/content/CVPR2026/html/Wang_SpikeTrack_High-performance_and_Energy-efficient_Event-Based_Object_Tracking_with_Spiking_Neural_CVPR_2026_paper.html","",PARTIAL_COLLISION,"input-statistics-adaptive spike capacity in event tracking","different namesake/event modality; no template-conditioned MRM retrieval allocation"
HG6N1-P32,CX007,peer_reviewed_conference,"Learning Dynamic Memory Networks for Object Tracking","Tianyu Yang; Antoni B. Chan",2018,"ECCV 2018","https://openaccess.thecvf.com/content_ECCV_2018/papers/Tianyu_Yang_Learning_Dynamic_Memory_ECCV_2018_paper.pdf","",PARTIAL_COLLISION,"search-conditioned memory read/write and negative distractor memory","appearance adaptation rather than physical ambiguity-conditioned compute"
HG6N1-P33,CX007,peer_reviewed_journal,"Spiking Neural Networks with Adaptive Membrane Time Constant for Event-Based Tracking","Jiqing Zhang; Malu Zhang; Yuanchen Wang; Qianhui Liu; Baocai Yin; Haizhou Li; Xin Yang",2025,"IEEE Transactions on Image Processing 34","https://doi.org/10.1109/TIP.2025.3533213","",ADJACENT_PRIOR_ART,"input-adaptive spiking dynamics and temporal suppression in tracking","does not skip retrieval paths or use RGB target-distractor ambiguity"
HG6N1-P34,CX007,peer_reviewed_conference,"Spiking Transformers for Event-Based Single Object Tracking","Jiqing Zhang; Bo Dong; Haiwei Zhang; Jianchuan Ding; Felix Heide; Baocai Yin; Xin Yang",2022,"CVPR 2022","https://openaccess.thecvf.com/content/CVPR2022/html/Zhang_Spiking_Transformers_for_Event-Based_Single_Object_Tracking_CVPR_2022_paper.html","https://github.com/Jee-King/CVPR2022_STNet",ADJACENT_PRIOR_ART,"spiking transformer tracking and adaptive thresholds","event modality and no conditional retrieval compute"
HG6N1-P35,CX007,peer_reviewed_conference,"Unleashing the Potential of Spiking Neural Networks with Dynamic Confidence","Chen Li; Edward G. Jones; Steve Furber",2023,"ICCV 2023","https://openaccess.thecvf.com/content/ICCV2023/html/Li_Unleashing_the_Potential_of_Spiking_Neural_Networks_with_Dynamic_Confidence_ICCV_2023_paper.html","https://github.com/chenlicodebank/Dynamic-Confidence-in-Spiking-Neural-Networks",ADJACENT_PRIOR_ART,"runtime confidence terminates SNN inference","no tracking or memory retrieval"
HG6N1-P36,CX007,arxiv_preprint,"AT-SNN: Adaptive Tokens for Vision Transformer on Spiking Neural Network","Donghwa Kang; Youngmoon Lee; Eun-Kyu Lee; Brent Kang; Jinkyu Lee; Hyeongboo Baek",2024,"arXiv:2408.12293","https://arxiv.org/abs/2408.12293","",ADJACENT_PRIOR_ART,"adaptive computation time removes less-informative spatial tokens","classification only; no tracking/MRM/ambiguity"
HG6N1-P37,CX007,arxiv_preprint,"STAS: Spatio-Temporal Adaptive Computation Time for Spiking Transformers","Donghwa Kang; Doohyun Kim; Sang-Ki Ko; Jinkyu Lee; Brent ByungHoon Kang; Hyeongboo Baek",2025,"arXiv:2508.14138","https://arxiv.org/abs/2508.14138","",ADJACENT_PRIOR_ART,"joint spatial/temporal adaptive token computation","no tracking or MRM retrieval"
HG6N1-P38,CX007,peer_reviewed_conference,"STAA-SNN: Spatial-Temporal Attention Aggregator for Spiking Neural Networks","Tianqing Zhang; Kairong Yu; Xian Zhong; Hongwei Wang; Qi Xu; Qiang Zhang",2025,"CVPR 2025","https://openaccess.thecvf.com/content/CVPR2025/papers/Zhang_STAA-SNN_Spatial-Temporal_Attention_Aggregator_for_Spiking_Neural_Networks_CVPR_2025_paper.pdf","",ADJACENT_PRIOR_ART,"step attention and timestep dropout select temporal features","no frame-conditioned physical MRM skipping"
HG6N1-P39,CX007,arxiv_preprint,"SparseSpikformer: A Co-Design Framework for Token and Weight Pruning in Spiking Transformer","Yue Liu; Shanlin Xiao; Bo Li; Zhiyi Yu",2023,"arXiv:2311.08806","https://arxiv.org/abs/2311.08806","",ADJACENT_PRIOR_ART,"firing-rate token/weight pruning in spiking transformers","no tracking or distractor-conditioned retrieval"
HG6N1-P40,CX007,arxiv_preprint,"Vision SmolMamba","Dewei Bai; Hongxiang Peng; Yunyun Zeng; Ziyu Zhang; Hong Qu; Yi Zhang",2026,"arXiv:2604.25570","https://arxiv.org/abs/2604.25570","",ADJACENT_PRIOR_ART,"spike-guided token pruning using activation and first-spike latency","post-baseline and no SpikeTrack MRM/distractor coupling"
HG6N1-P41,CX007,peer_reviewed_conference,"STEG-AIW: Spatio-Temporal Gating and Adaptive-Timestep Inference for Efficient Spiking Neural Networks","Gulfam Ahmed Saju; Anton Spirkin; Felipe Marcelino; Yuchou Chang",2026,"WACV 2026","https://openaccess.thecvf.com/content/WACV2026/html/Saju_STEG-AIW_Spatio-Temporal_Gating_and_Adaptive-Timestep_Inference_for_Efficient_Spiking_Neural_WACV_2026_paper.html","",ADJACENT_PRIOR_ART,"residual-stage activation gating plus sample-wise early halt","no tracking or retrieval"
HG6N1-P42,CX013,peer_reviewed_conference,"Less Is More: Token Context-Aware Learning for Object Tracking","Chenlong Xu; Bineng Zhong; Qihua Liang; Yaozong Zheng; Guorong Li; Shuxiang Song",2025,"AAAI 2025","https://ojs.aaai.org/index.php/AAAI/article/view/32954","",PARTIAL_COLLISION,"autoregressive importance-ranked physical retention of historical reference tokens for robustness and compute","fixed top-k token budget and no validity-adaptive whole-template count"
HG6N1-P43,CX013,peer_reviewed_conference,"ProContEXT: Exploring Progressive Context Transformer for Tracking","Jin-Peng Lan; Zhi-Qi Cheng; Jun-Yan He; Chenyang Li; Bin Luo; Xu Bao; Wangmeng Xiang; Yifeng Geng; Xuansong Xie",2023,"ICASSP 2023","https://doi.org/10.1109/ICASSP49357.2023.10094971","",PARTIAL_COLLISION,"multi-scale static/dynamic temporal templates plus physical token pruning","search-focused/fixed pruning rather than validity-conditioned whole-template removal"
HG6N1-P44,CX013,peer_reviewed_conference,"HIPTrack: Visual Tracking with Historical Prompts","Wenrui Cai; Qingjie Liu; Yunhong Wang",2024,"CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/html/Cai_HIPTrack_Visual_Tracking_with_Historical_Prompts_CVPR_2024_paper.html","https://github.com/WenRuiCai/HIPTrack",ADJACENT_PRIOR_ART,"bounded historical prompt bank for occlusion and appearance change","accumulates prompts rather than validity-pruning physical template compute"
HG6N1-P45,CX013,peer_reviewed_conference,"XMem: Long-Term Video Object Segmentation with an Atkinson-Shiffrin Memory Model","Ho Kei Cheng; Alexander G. Schwing",2022,"ECCV 2022","https://arxiv.org/abs/2207.07115","https://github.com/hkchengrex/XMem",ADJACENT_PRIOR_ART,"hierarchical bounded video memory with consolidation to avoid memory growth","adjacent VOS and no template-validity gate or active SOT template count"
HG6N1-P46,CX013,peer_reviewed_workshop,"NeighborTrack: Single Object Tracking by Bipartite Matching With Neighbor Tracklets and Its Applications to Sports","Yu-Hsi Chen; Chien-Yao Wang; Cheng-Yun Yang; Hung-Shuo Chang; Youn-Long Lin; Yung-Yu Chuang; Hong-Yuan Mark Liao",2023,"CVPR Workshops 2023","https://openaccess.thecvf.com/content/CVPR2023W/CVSports/html/Chen_NeighborTrack_Single_Object_Tracking_by_Bipartite_Matching_With_Neighbor_Tracklets_CVPRW_2023_paper.html","https://github.com/franktpmvu/NeighborTrack",PARTIAL_COLLISION,"runtime backward validation with bounded neighbor history under occlusion","validates localization candidates rather than pruning a multi-template bank"
HG6N1-P47,CX013,peer_reviewed_conference,"Multihypothesis Trajectory Analysis for Robust Visual Tracking","Dae-Youn Lee; Jae-Young Sim; Chang-Su Kim",2015,"CVPR 2015","https://openaccess.thecvf.com/content_cvpr_2015/html/Lee_Multihypothesis_Trajectory_Analysis_2015_CVPR_paper.html","",PARTIAL_COLLISION,"runtime forward-backward reliability and unsafe-update suppression","adds multiple trackers and does not reduce template-memory compute"
HG6N1-P48,CX013,peer_reviewed_conference,"Forward-Backward Error: Automatic Detection of Tracking Failures","Zdenek Kalal; Krystian Mikolajczyk; Jiri Matas",2010,"ICPR 2010","https://doi.org/10.1109/ICPR.2010.675","",NON_COLLIDING_REFERENCE,"foundational forward-backward failure detection","no template bank or physical compute mechanism"
HG6N1-P49,CX013,peer_reviewed_conference,"Unsupervised Learning of Accurate Siamese Tracking","Qiuhong Shen; Lei Qiao; Jinyang Guo; Peixia Li; Xin Li; Bo Li; Weitao Feng; Weihao Gan; Wei Wu; Wanli Ouyang",2022,"CVPR 2022","https://openaccess.thecvf.com/content/CVPR2022/html/Shen_Unsupervised_Learning_of_Accurate_Siamese_Tracking_CVPR_2022_paper.html","https://github.com/FlorinShum/ULAST",NON_COLLIDING_REFERENCE,"forward-backward cycle consistency for training","training-only cycle supervision; no runtime template validation or physical memory reduction"
