provisional_id,candidate_scope,source_type,title,authors,year,venue_or_status,stable_url,official_repo_if_any,collision_class,used_for,important_limit
HG6N2-P11,BOTH,peer_reviewed_conference,"Exploring Efficient and Effective Sequence Learning for Visual Object Tracking","Dongdong Li; Zhinan Gao; Yangliu Kuai; Rui Chen",2025,"IJCAI 2025","https://doi.org/10.24963/ijcai.2025/153","https://github.com/vision4drones/FastSeqTrack",PARTIAL_COLLISION,"softmax-confidence early exit across decoder layers on easy tracking frames","direct easy-frame exit relation for CX044 but no LR/VC/FM coupling; no clutter-calibrated HiT route regret; announced repository was not a verifiable implementation at audit"
HG6N2-P12,CX044,peer_reviewed_journal,"Learning Motion Blur Robust Vision Transformers for Real-Time UAV Tracking","You Wu; Xucheng Wang; Dan Zeng; Hengzhou Ye; Xiaolan Xie; Qijun Zhao; Shuiwang Li",2026,"Expert Systems with Applications 297:129445; arXiv v1 2024-07-07","https://doi.org/10.1016/j.eswa.2025.129445","https://github.com/wuyou3474/BDTrack",PARTIAL_COLLISION,"dynamic early exit paired with robustness to motion-blurred or fast-motion imagery","motion-blur robustness and dynamic exit are separately learned; announced repository contained no released implementation at audit"
HG6N2-P13,BOTH,peer_reviewed_journal,"Efficient Early Exit Single Object Tracking via General Distribution","Yachun Feng; Ding Yuan; Jianbo Song; Hanyang Liu; Yifan Yang; Tianxiao Zhang",2026,"Neurocomputing 661:131888","https://doi.org/10.1016/j.neucom.2025.131888","",DIRECT_COLLISION,"object-background distinguishability and clutter-conditioned early-exit depth in SOT","post-baseline publication and a different tracker core; no AsymTrack factorial or HiT Route1/Route2 paired regret"
HG6N2-P14,CX058,arxiv_only,"Uncertainty-Guided Inference-Time Depth Adaptation for Transformer-Based Visual Tracking","Patrick Poggi; Divake Kumar; Theja Tulabandhula; Amit Ranjan Trivedi",2026,"arXiv:2602.16160","https://arxiv.org/abs/2602.16160","",PARTIAL_COLLISION,"uncertainty and temporal feedback selecting next-frame tracker depth","post-baseline preprint; STARK-based and not HiT route calibration"
HG6N2-P15,CX058,peer_reviewed_conference,"Adaptive Depth Lightweight RGB-T Tracking with Holistic Token Routing","Tian Ding; Hongtao Yang; Liangtao Shi; Jun Li; Xiantao Hu; Jian Yang; Ying Tai",2026,"CVPR 2026","https://openaccess.thecvf.com/content/CVPR2026/html/Ding_Adaptive_Depth_Lightweight_RGB-T_Tracking_with_Holistic_Token_Routing_CVPR_2026_paper.html","",PARTIAL_COLLISION,"confidence-calibrated early exit and adaptive routing in tracking","post-baseline RGB-T modality; not HiT RGB Route1/Route2"
HG6N2-P16,CX058,peer_reviewed_conference,"MVLM: Template-Free Tracking via Vision-Language Margin Confidence and Memory-Gated Tracking","Dae-Hyeon Park; Mina Baek; Jeong-Hun Ha; Chan-Seop Park; Jamshidjon Ganiev; Seung-Hwan Bae",2026,"CVPR 2026","https://openaccess.thecvf.com/content/CVPR2026/html/Park_MVLM_Template-Free_Tracking_via_Vision-Language_Margin_Confidence_and_Memory-Gated_Tracking_CVPR_2026_paper.html","https://github.com/inha-vllab/MVLM",PARTIAL_COLLISION,"target-competitor margin and temporal memory gating of local versus global search","post-baseline vision-language tracker; route is spatial-search mode rather than HiT depth"
HG6N2-P17,CX058,peer_reviewed_conference,"Fixing Overconfidence in Dynamic Neural Networks","Lassi Meronen; Martin Trapp; Andrea Pilzer; Le Yang; Arno Solin",2024,"WACV 2024","https://openaccess.thecvf.com/content/WACV2024/html/Meronen_Fixing_Overconfidence_in_Dynamic_Neural_Networks_WACV_2024_paper.html","https://github.com/AaltoML/calibrated-dnn",ADJACENT_PRIOR_ART,"calibration of confidence-based dynamic-depth decisions","generic dynamic classifiers rather than visual tracking or distractor-conditioned HiT routing"
HG6N2-P18,CX058,peer_reviewed_conference,"Fast yet Safe: Early-Exiting with Risk Control","Metod Jazbec; Alexander Timans; Tin Hadži Veljković; Kaspar Sakmann; Dan Zhang; Christian A. Naesseth; Eric Nalisnick",2024,"NeurIPS 2024","https://proceedings.neurips.cc/paper_files/paper/2024/hash/ea5a63f7ddb82e58623693fd1f4933f7-Abstract-Conference.html","https://github.com/metodj/RC-EENN",ADJACENT_PRIOR_ART,"distribution-free risk-controlled selection of early-exit thresholds","classification rather than temporally dependent tracking routes"
HG6N2-P19,CX058,peer_reviewed_conference,"Early-Exit Neural Networks with Nested Prediction Sets","Metod Jazbec; Patrick Forré; Stephan Mandt; Dan Zhang; Eric Nalisnick",2024,"UAI 2024; PMLR 244","https://proceedings.mlr.press/v244/jazbec24a.html","",ADJACENT_PRIOR_ART,"uncertainty-aware selective exit through nested prediction sets","classification rather than SOT and no distractor/clutter route-regret measurement"
HG6N2-P20,CX058,peer_reviewed_conference,"Jointly-Learned Exit and Inference for a Dynamic Neural Network","Florence Regol; Joud Chataoui; Mark Coates",2024,"ICLR 2024","https://proceedings.iclr.cc/paper_files/paper/2024/hash/ac31843b0bf18fe1d1ab0e974c74f50f-Abstract-Conference.html","",ADJACENT_PRIOR_ART,"joint learning of exit decisions and predictive inference","generic dynamic-network method rather than a tracker-specific route audit"
HG6N2-P21,CX058,peer_reviewed_journal,"Effective Local and Global Search for Fast Long-Term Tracking","Haojie Zhao; Bin Yan; Dong Wang; Xuesheng Qian; Xiaoyun Yang; Huchuan Lu",2023,"IEEE TPAMI 45(1)","https://doi.org/10.1109/TPAMI.2022.3153645","https://github.com/difhnp/ELGLT",PARTIAL_COLLISION,"verifier confidence controlling next-frame local or global search","long-term spatial search mode rather than same-frame HiT shallow/deep routing"
HG6N2-P22,CX058,peer_reviewed_conference,"UAST: Uncertainty-Aware Siamese Tracking","Dawei Zhang; Yanwei Fu; Zhonglong Zheng",2022,"ICML 2022; PMLR 162","https://proceedings.mlr.press/v162/zhang22g.html","",ADJACENT_PRIOR_ART,"tracker uncertainty estimation under ambiguous predictions","does not allocate network depth or implement route calibration"
HG6N2-P23,CX044,peer_reviewed_journal,"SRRT: Exploring Search Region Regulation for Visual Object Tracking","Jiawen Zhu; Xin Chen; Pengyu Zhang; Xinying Wang; Dong Wang; Wenda Zhao; Huchuan Lu",2024,"IEEE TCSVT 34(11)","https://doi.org/10.1109/TCSVT.2024.3409898","",ADJACENT_PRIOR_ART,"dynamic spatial extent under fast motion and distractor conditions","allocates search region rather than backbone capacity, depth or resolution family point"
HG6N2-P24,CX044,peer_reviewed_conference,"SGDViT: Saliency-Guided Dynamic Vision Transformer for UAV Tracking","Liangliang Yao; Changhong Fu; Sihang Li; Guangze Zheng; Junjie Ye",2023,"ICRA 2023","https://vision4robotics.github.io/publication/2023_icra_sgdvit/","https://github.com/vision4robotics/SGDViT",PARTIAL_COLLISION,"dynamic token computation for UAV tracking under viewpoint and appearance challenges","token pruning rather than AsymTrack stage-depth/search-resolution family allocation"
