pair_sheet_id,linked_r3_interval_id,linked_r3_control_id,relative_path,sha256,byte_size,width,height,proposal_sequence,control_sequence,proposal_frame_ids,control_frame_ids,proposal_distractor_bboxes,overlays,analysis_eligible,manager_review_status
PAIR-R3-D11,R3-D11,R3-CD11,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D11.jpg,8c164b3b024d8576dbc8b0f9a830099ba88072b02e5236bcb3a788e77b6e84d7,202796,2000,620,Freeman3,David2,245|251|257|263|269,261|267|273|279|285,245:151 99 31 31|251:151 99 31 30|257:152 99 31 31|263:153 100 31 31|269:154 99 31 31,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
PAIR-R3-D12,R3-D12,R3-CD12,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D12.jpg,180da7be55468fe5ef11106a71e253f708507d7d0e92dd063a05248075427bac,195581,2000,620,Singer1,Dancer,1|7|13|19|25,71|77|83|89|95,1:345 54 92 269|7:345 54 92 269|13:345 54 93 269|19:346 55 93 268|25:347 56 93 267,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
PAIR-R3-H01,R3-H01,R3-CH01,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_H01.jpg,5d5476faf52e3b563c41d0e1f5a036c08ea3e397335c729d0428fcb934002fc4,220937,2000,620,Crowds,Crowds,33|34|35|36|37,161|162|163|164|165,33:408 338 31 48|34:410 337 30 49|35:415 338 29 47|36:409 337 34 51|37:410 336 33 51,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
PAIR-R3-H02,R3-H02,R3-CH02,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_H02.jpg,7657c02997bc46ff0d0afbebb2a66f5eae143edb562f8bd95598412982be63bf,185027,2000,620,BlurCar4,Suv,255|261|267|273|279,726|732|738|744|750,255:452 126 155 171|261:455 207 165 153|267:344 177 162 145|273:405 185 164 149|279:468 166 169 157,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
PAIR-R3-H03,R3-H03,R3-CH03,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_H03.jpg,512f89b946fe8848f14305133cdf8843d3c543b29baca8d88abf4d592a2c739d,204200,2000,620,Soccer,Man,170|172|175|178|180,106|108|111|114|116,170:445 163 64 86|172:466 191 66 83|175:470 185 65 80|178:492 213 65 78|180:507 218 70 84,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
PAIR-R3-H04,R3-H04,R3-CH04,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_H04.jpg,aefa303118c802ee88cf515d69ff772f64197e5adb5b167a06c74804aed4e517,140068,2000,620,Girl,Girl,411|415|420|425|429,363|367|372|377|381,411:0 13 18 49|415:0 11 34 53|420:0 10 44 56|425:8 12 47 58|429:17 13 45 60,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
PAIR-R3-H05,R3-H05,R3-CH05,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_H05.jpg,a69477c1f0693e1d9b5ab0ea7b8f8290a1f27ca05f2567be7f343d3bf71e7701,181240,2000,620,Human3,Human3,57|63|69|75|81,264|270|276|282|288,57:126 276 28 70|63:151 278 28 69|69:164 278 28 69|75:188 277 29 70|81:205 279 30 70,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
PAIR-R3-H06,R3-H06,R3-CH06,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_H06.jpg,69ebcf4ca9fa7c05d70fe708ed403f84a9af571ebf31599b9a02fa69d4a61141,174459,2000,620,Human3,Human3,1564|1570|1576|1582|1588,1418|1424|1430|1436|1442,1564:83 454 45 120|1570:78 458 48 118|1576:78 468 45 117|1582:102 458 44 117|1588:124 453 44 121,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
PAIR-R3-H07,R3-H07,R3-CH07,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_H07.jpg,611a4167fb18025f80538516d6aadbd4ec24b54ee9be1a1eb0f7368dcc53e594,226503,2000,620,Human4_2,Walking2,73|79|85|91|97,393|399|405|411|417,73:137 202 38 83|79:139 202 39 83|85:142 202 39 84|91:147 204 39 83|97:152 205 39 82,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
PAIR-R3-H08,R3-H08,R3-CH08,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_H08.jpg,091558b61055ce5c8c588146a81db342a3de752ec551fc87517e0454f5f66e61,159776,2000,620,Suv,Suv,372|379|386|393|399,410|417|424|430|437,372:0 172 46 31|379:33 165 79 39|386:115 163 82 40|393:197 163 83 40|399:278 169 42 34,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
