canonical_order,sequence,entry_type,loader_frame_path,loader_annotation_path,staged_sequence_root,acquired_source_root_or_na,real_image_count,ground_truth_rows,ground_truth_sha256,authorized_tracker_execution,notes
40,Dudek,METADATA_ONLY_GT_STUB,Dudek/img,Dudek/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Dudek,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
41,FaceOcc1,METADATA_ONLY_GT_STUB,FaceOcc1/img,FaceOcc1/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\FaceOcc1,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
42,FaceOcc2,METADATA_ONLY_GT_STUB,FaceOcc2/img,FaceOcc2/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\FaceOcc2,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
43,Fish,METADATA_ONLY_GT_STUB,Fish/img,Fish/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Fish,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
44,FleetFace,METADATA_ONLY_GT_STUB,FleetFace/img,FleetFace/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\FleetFace,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
45,Football,METADATA_ONLY_GT_STUB,Football/img,Football/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Football,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
46,Football1,METADATA_ONLY_GT_STUB,Football1/img,Football1/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Football1,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
47,Freeman1,METADATA_ONLY_GT_STUB,Freeman1/img,Freeman1/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Freeman1,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
48,Freeman3,METADATA_ONLY_GT_STUB,Freeman3/img,Freeman3/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Freeman3,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
49,Freeman4,METADATA_ONLY_GT_STUB,Freeman4/img,Freeman4/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Freeman4,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
50,Girl,METADATA_ONLY_GT_STUB,Girl/img,Girl/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Girl,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
51,Girl2,METADATA_ONLY_GT_STUB,Girl2/img,Girl2/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Girl2,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
52,Gym,METADATA_ONLY_GT_STUB,Gym/img,Gym/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Gym,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
53,Human2,METADATA_ONLY_GT_STUB,Human2/img,Human2/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Human2,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
54,Human3,METADATA_ONLY_GT_STUB,Human3/img,Human3/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Human3,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
55,Human4_2,METADATA_ONLY_GT_STUB,Human4-2/img,Human4-2/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Human4-2,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
56,Human5,METADATA_ONLY_GT_STUB,Human5/img,Human5/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Human5,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
57,Human6,METADATA_ONLY_GT_STUB,Human6/img,Human6/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Human6,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
58,Human7,METADATA_ONLY_GT_STUB,Human7/img,Human7/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Human7,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
59,Human8,METADATA_ONLY_GT_STUB,Human8/img,Human8/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Human8,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
60,Human9,METADATA_ONLY_GT_STUB,Human9/img,Human9/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Human9,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
61,Ironman,METADATA_ONLY_GT_STUB,Ironman/img,Ironman/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Ironman,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
62,Jogging_1,METADATA_ONLY_GT_STUB,Jogging-1/img,Jogging-1/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Jogging-1,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
63,Jogging_2,METADATA_ONLY_GT_STUB,Jogging-1/img,Jogging-2/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Jogging-1,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
64,Jump,METADATA_ONLY_GT_STUB,Jump/img,Jump/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Jump,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
65,Jumping,METADATA_ONLY_GT_STUB,Jumping/img,Jumping/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Jumping,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
66,KiteSurf,METADATA_ONLY_GT_STUB,KiteSurf/img,KiteSurf/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\KiteSurf,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
67,Lemming,METADATA_ONLY_GT_STUB,Lemming/img,Lemming/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Lemming,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
68,Liquor,METADATA_ONLY_GT_STUB,Liquor/img,Liquor/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Liquor,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
69,Man,METADATA_ONLY_GT_STUB,Man/img,Man/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Man,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
70,Matrix,METADATA_ONLY_GT_STUB,Matrix/img,Matrix/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Matrix,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
71,Mhyang,METADATA_ONLY_GT_STUB,Mhyang/img,Mhyang/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Mhyang,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
72,MotorRolling,METADATA_ONLY_GT_STUB,MotorRolling/img,MotorRolling/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\MotorRolling,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
73,MountainBike,METADATA_ONLY_GT_STUB,MountainBike/img,MountainBike/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\MountainBike,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
74,Panda,METADATA_ONLY_GT_STUB,Panda/img,Panda/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Panda,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
75,RedTeam,METADATA_ONLY_GT_STUB,RedTeam/img,RedTeam/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\RedTeam,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
76,Rubik,METADATA_ONLY_GT_STUB,Rubik/img,Rubik/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Rubik,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
