pair_id,side,sequence,interval_start,interval_end,condition,selected_refinement_path,physical_skip,status,tracker_mode,ablation_control,source_row_sha256_canonical_lf,snapshot_frame,start_snapshot_sha256,restored_start_snapshot_sha256,start_restore_exact,baseline_end_snapshot_sha256,continuation_restored_snapshot_sha256,continuation_restore_exact,interval_output_frames,tracked_branch_frames,official_initialization_frames_zero_contribution,raw_jsonl_first_line,raw_jsonl_last_line,raw_jsonl_external_path
R3-D06,control,Human8,1,25,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,791c3093fe9c9df532c84dd02d543da51d97236b7193569423e3f8d52dbcf6d9,1,8deaf0ff8f69865b0a4d8271ccdbe27d0a5ba3bf5c6c893f47b86ccbd8f1b3f0,8deaf0ff8f69865b0a4d8271ccdbe27d0a5ba3bf5c6c893f47b86ccbd8f1b3f0,True,b18b206ee7f35ba3f58832e54421f9c4e1bfb4631e0a1aac2faefc0f83ef43d4,b18b206ee7f35ba3f58832e54421f9c4e1bfb4631e0a1aac2faefc0f83ef43d4,True,25,24,1,4509,4676,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D06,primary,Jogging_1,150,174,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,791c3093fe9c9df532c84dd02d543da51d97236b7193569423e3f8d52dbcf6d9,149,eeb4f8ed35594d0d6ba005f131a55071b7e532fec7a4b9e977543118480b75f7,eeb4f8ed35594d0d6ba005f131a55071b7e532fec7a4b9e977543118480b75f7,True,f65c3a84974471d972a3f8323400e81b7f28089abb3527decd9f1a1e2f5b100b,f65c3a84974471d972a3f8323400e81b7f28089abb3527decd9f1a1e2f5b100b,True,25,25,0,5111,5285,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D07,control,David2,36,60,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,6ed8bac2a211b7e279eeadbde6f9feffe7045b650719ed45daa495fe7932e61f,35,cd58515f2aae46e16cd541922e5d3cc55d38660128220e6a275ae6efb53fa285,cd58515f2aae46e16cd541922e5d3cc55d38660128220e6a275ae6efb53fa285,True,bfb1ec561a2e58c455b3564458b43176d512ea0a226fdfd8fd91db869a48c63c,bfb1ec561a2e58c455b3564458b43176d512ea0a226fdfd8fd91db869a48c63c,True,25,25,0,2563,2737,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D07,primary,Shaking,1,25,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,6ed8bac2a211b7e279eeadbde6f9feffe7045b650719ed45daa495fe7932e61f,1,d81a83b864bbee9766278bd37a8ec517c3c3776a5d485d35d0f78b12b24e2db1,d81a83b864bbee9766278bd37a8ec517c3c3776a5d485d35d0f78b12b24e2db1,True,e0ec045bbde3390dc31429f9bcb8b584383dd9603e03298454c7f42a52acd3fb,e0ec045bbde3390dc31429f9bcb8b584383dd9603e03298454c7f42a52acd3fb,True,25,24,1,6861,7028,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D08,control,CarScale,81,105,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,d9dd3a9ed8970b8458b3872fb7967de046b61e6bf46074ef00985d3fe37ddcca,80,f6f901eab8e04d6affc10d97471cd43dd3effcd1ed19de6d1da10343e2e31895,f6f901eab8e04d6affc10d97471cd43dd3effcd1ed19de6d1da10343e2e31895,True,28b1fa275a347f2d97ba9aa707a35f0997c2cd70868cc5abc5851332c12351cb,28b1fa275a347f2d97ba9aa707a35f0997c2cd70868cc5abc5851332c12351cb,True,25,25,0,1863,2037,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D08,primary,CarDark,121,145,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,d9dd3a9ed8970b8458b3872fb7967de046b61e6bf46074ef00985d3fe37ddcca,120,a05c58b2cb055fcfc7fce5b8f1e41d1388f148d4949151b7546db20e00bd27dc,a05c58b2cb055fcfc7fce5b8f1e41d1388f148d4949151b7546db20e00bd27dc,True,60ec72435e948e50b23ceee9d57ba87eab1d4c595c88883c231f6f4ea80d5543,60ec72435e948e50b23ceee9d57ba87eab1d4c595c88883c231f6f4ea80d5543,True,25,25,0,1513,1687,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D09,control,Human7,13,37,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,e6c55a424c51672668391c63e5aa766783fdd748a4d364191dfa86422e1593a4,12,09de967ea616b57ab0ae4f6a4ccd0b82c27991fdded1a611cd4e683b33b6a479,09de967ea616b57ab0ae4f6a4ccd0b82c27991fdded1a611cd4e683b33b6a479,True,1d9ca37a99503334905e9a2642f5ff03c2c2422f8244a96a35421a01eb750a88,1d9ca37a99503334905e9a2642f5ff03c2c2422f8244a96a35421a01eb750a88,True,25,25,0,4159,4333,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D09,primary,Skating1,113,137,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,e6c55a424c51672668391c63e5aa766783fdd748a4d364191dfa86422e1593a4,112,dfe064d4783d0fc90418e33e9124648fcf144b302e2ad3f1262df1d466de922d,dfe064d4783d0fc90418e33e9124648fcf144b302e2ad3f1262df1d466de922d,True,35c9c7191072c2fe8bed1643c6bbb5e3afd9f304a4b78aa5eba7e6a05f39dcca,35c9c7191072c2fe8bed1643c6bbb5e3afd9f304a4b78aa5eba7e6a05f39dcca,True,25,25,0,7533,7707,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D10,control,Woman,193,207,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,a70eefca2a065702872201bdc7026881d4fcee0ec6aafe4a1492f26038f906bb,192,4ee8d65411fac062d8831a4b579456f4aea22cbcdaf6fbce21aecac15f87551a,4ee8d65411fac062d8831a4b579456f4aea22cbcdaf6fbce21aecac15f87551a,True,da697b38116b442375db4768115a1584e378388bed2bb2432d6192ac8e2137a3,da697b38116b442375db4768115a1584e378388bed2bb2432d6192ac8e2137a3,True,15,15,0,8093,8197,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D10,primary,Subway,31,45,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,a70eefca2a065702872201bdc7026881d4fcee0ec6aafe4a1492f26038f906bb,30,b100a1d9b77aec9c420a4d6dbfb47779a3b02d79cabcbe25f1e7dc324b505cde,b100a1d9b77aec9c420a4d6dbfb47779a3b02d79cabcbe25f1e7dc324b505cde,True,bf7034b9e741713f39f92c01124afd18121d32a74dbfd3185fbf5303e53ece3a,bf7034b9e741713f39f92c01124afd18121d32a74dbfd3185fbf5303e53ece3a,True,15,15,0,7883,7987,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D11,control,David2,261,285,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,7c77cc87d301074996e5f2830490987a2d5c53f73babe8a08262efe3df6b2432,260,dc464d1f50ad1d1334730c629cea0c4b7495f88cccd38a9a0af8596458873cec,dc464d1f50ad1d1334730c629cea0c4b7495f88cccd38a9a0af8596458873cec,True,162620a03ec9dab52faa1ea22b62578b63ecd1ff67e466dd0faf0a2f187204f8,162620a03ec9dab52faa1ea22b62578b63ecd1ff67e466dd0faf0a2f187204f8,True,25,25,0,2913,3087,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D11,primary,Freeman3,245,269,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,7c77cc87d301074996e5f2830490987a2d5c53f73babe8a08262efe3df6b2432,244,5e4484533a1bbad28f24f35274e4576031c57ce66f3958ba500d9f5b6c103cfb,5e4484533a1bbad28f24f35274e4576031c57ce66f3958ba500d9f5b6c103cfb,True,c62ba580b3e41f952e38db1b72cae4b73ca964c3471ca58881c86d6bc08e9b12,c62ba580b3e41f952e38db1b72cae4b73ca964c3471ca58881c86d6bc08e9b12,True,25,25,0,3809,3983,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D12,control,Dancer,71,95,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,f749e4ef3b782b8be89cf69a02cd98173ed4ad04c634dbf67250220b4103b8ea,70,4f98ad6b73e4a291c5086ce1a34f174e1133f3dcb534810e327e78b3efbdaa15,4f98ad6b73e4a291c5086ce1a34f174e1133f3dcb534810e327e78b3efbdaa15,True,20f5060fddf5b946be2c411617fbb3919d0c7b8fe48c3c79272836b7f8df1336,20f5060fddf5b946be2c411617fbb3919d0c7b8fe48c3c79272836b7f8df1336,True,25,25,0,2213,2387,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D12,primary,Singer1,1,25,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,f749e4ef3b782b8be89cf69a02cd98173ed4ad04c634dbf67250220b4103b8ea,1,db5d5a522e4cc913a49b346a98859217a97551410822378b604512ba616e863e,db5d5a522e4cc913a49b346a98859217a97551410822378b604512ba616e863e,True,04315326d1d45d881a13f40a9203e7a5e422194c108bb2eb5a2a346efda616a1,04315326d1d45d881a13f40a9203e7a5e422194c108bb2eb5a2a346efda616a1,True,25,24,1,7197,7364,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D01,control,David3,195,233,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,0453aad83b99fee3251796bd38f5adbace837b568d5797343fb73036f84b1ae9,194,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,True,d3a2b4f9e5d9bed84f55f4adcdd44afd21dd53ee4bd3d6d21741f3c37a0dbdce,d3a2b4f9e5d9bed84f55f4adcdd44afd21dd53ee4bd3d6d21741f3c37a0dbdce,True,39,39,0,3536,3808,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D01,primary,Basketball,397,435,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,0453aad83b99fee3251796bd38f5adbace837b568d5797343fb73036f84b1ae9,396,0a80108bdb05cad7253ca138700f97a096c70ff177895acaf5f51672ef7ff80d,0a80108bdb05cad7253ca138700f97a096c70ff177895acaf5f51672ef7ff80d,True,4c7635956adc56866c94393a4631f8f007077e9a1b297fa2779df43081803708,4c7635956adc56866c94393a4631f8f007077e9a1b297fa2779df43081803708,True,39,39,0,274,546,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D02,control,Human8,108,126,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,b920b86b680c3a99b54b48e7a1f5f2e90d962f986deb75ebf5df3f48dd1e3a40,107,792013ffd7e644e365a0d96a546f5c0882d70a1e76d142bea4fede586d69566c,792013ffd7e644e365a0d96a546f5c0882d70a1e76d142bea4fede586d69566c,True,176f512569d60891b99540c7f995a33136c19495d56d4744a83d1186915b873e,176f512569d60891b99540c7f995a33136c19495d56d4744a83d1186915b873e,True,19,19,0,4978,5110,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D02,primary,Bolt,31,49,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,b920b86b680c3a99b54b48e7a1f5f2e90d962f986deb75ebf5df3f48dd1e3a40,30,1aec4d39d3fd4a1854e91a367080695f091d94cb6813fb69b294aeda270f4318,1aec4d39d3fd4a1854e91a367080695f091d94cb6813fb69b294aeda270f4318,True,e14ce24713bd1ea51a53a0656b1a6dd8f35b7216173e7335c7f23e3a68e71bf2,e14ce24713bd1ea51a53a0656b1a6dd8f35b7216173e7335c7f23e3a68e71bf2,True,19,19,0,680,812,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D03,control,Liquor,20,44,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,40c786ed1d68e3bdf44492222ec95ed9d51ada70242971147a9aabd7f47eb733,19,1ce66f22da24affdc743ee06a825a4fe0e5c58bf76c72b1a03519654f85f022f,1ce66f22da24affdc743ee06a825a4fe0e5c58bf76c72b1a03519654f85f022f,True,505a5f96542cc33497ca335b5df9b4d63a0562f02af4e69a5c4e3d4d4c64ecd5,505a5f96542cc33497ca335b5df9b4d63a0562f02af4e69a5c4e3d4d4c64ecd5,True,25,25,0,5636,5810,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D03,primary,Liquor,565,589,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,40c786ed1d68e3bdf44492222ec95ed9d51ada70242971147a9aabd7f47eb733,564,6fb69ec88a0ed30a43e78f5844b4472de3a985e5dadf806291cf6d4d10b83c30,6fb69ec88a0ed30a43e78f5844b4472de3a985e5dadf806291cf6d4d10b83c30,True,d05f715e552584813d8c7a4f46b4275b2e9a3acfd8d705d8a1f2e374545ea4bd,d05f715e552584813d8c7a4f46b4275b2e9a3acfd8d705d8a1f2e374545ea4bd,True,25,25,0,6686,6860,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D04,control,Liquor,60,84,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,9813c90e37e9425d853de303e8994f517b17ca9bc04a57fcb7904036c9e1f2df,59,bfc55512688f362f533799c466e3a72547466901b2a64932bd07e322506c107f,bfc55512688f362f533799c466e3a72547466901b2a64932bd07e322506c107f,True,19a55b1becfc364fb8130427fb52c0cb59de33e296185ae4b583ff1b3bc375dd,19a55b1becfc364fb8130427fb52c0cb59de33e296185ae4b583ff1b3bc375dd,True,25,25,0,5986,6160,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D04,primary,Liquor,106,130,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,9813c90e37e9425d853de303e8994f517b17ca9bc04a57fcb7904036c9e1f2df,105,7eee24947fd4c84ee4271a4838806059a8dd7b79dc237e7d718c699fe4d083a5,7eee24947fd4c84ee4271a4838806059a8dd7b79dc237e7d718c699fe4d083a5,True,e54d46846741ef98063308633e089bad6659a58a6b9ad04b30912792db3d9d5d,e54d46846741ef98063308633e089bad6659a58a6b9ad04b30912792db3d9d5d,True,25,25,0,6336,6510,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D05,control,Car4,221,245,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,931e23dfa1fac0bb1c7a923f6830bd1e0913048e7d1a4393a9c2cc07cafa79bf,220,216dfc85413c972c8a67639327cbac2415a6ec0a6a6cb4d296e42e076956b022,216dfc85413c972c8a67639327cbac2415a6ec0a6a6cb4d296e42e076956b022,True,77d729979b7c33b158a3dd520472e04910e5418f5ff1f88dddb6381c61391d73,77d729979b7c33b158a3dd520472e04910e5418f5ff1f88dddb6381c61391d73,True,25,25,0,1338,1512,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D05,primary,Car4,113,137,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,931e23dfa1fac0bb1c7a923f6830bd1e0913048e7d1a4393a9c2cc07cafa79bf,112,630445a0e21e495e08e94cb352d41ba238be89b211def295f98efd137a803678,630445a0e21e495e08e94cb352d41ba238be89b211def295f98efd137a803678,True,04982f1479dc12376d926e4f2505763527822548fbc53dc893135ef21f30edcf,04982f1479dc12376d926e4f2505763527822548fbc53dc893135ef21f30edcf,True,25,25,0,988,1162,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D06,control,Human8,1,25,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,791c3093fe9c9df532c84dd02d543da51d97236b7193569423e3f8d52dbcf6d9,1,8deaf0ff8f69865b0a4d8271ccdbe27d0a5ba3bf5c6c893f47b86ccbd8f1b3f0,8deaf0ff8f69865b0a4d8271ccdbe27d0a5ba3bf5c6c893f47b86ccbd8f1b3f0,True,b18b206ee7f35ba3f58832e54421f9c4e1bfb4631e0a1aac2faefc0f83ef43d4,b18b206ee7f35ba3f58832e54421f9c4e1bfb4631e0a1aac2faefc0f83ef43d4,True,25,24,1,4677,4844,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D06,primary,Jogging_1,150,174,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,791c3093fe9c9df532c84dd02d543da51d97236b7193569423e3f8d52dbcf6d9,149,eeb4f8ed35594d0d6ba005f131a55071b7e532fec7a4b9e977543118480b75f7,eeb4f8ed35594d0d6ba005f131a55071b7e532fec7a4b9e977543118480b75f7,True,f65c3a84974471d972a3f8323400e81b7f28089abb3527decd9f1a1e2f5b100b,f65c3a84974471d972a3f8323400e81b7f28089abb3527decd9f1a1e2f5b100b,True,25,25,0,5286,5460,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D07,control,David2,36,60,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,6ed8bac2a211b7e279eeadbde6f9feffe7045b650719ed45daa495fe7932e61f,35,cd58515f2aae46e16cd541922e5d3cc55d38660128220e6a275ae6efb53fa285,cd58515f2aae46e16cd541922e5d3cc55d38660128220e6a275ae6efb53fa285,True,bfb1ec561a2e58c455b3564458b43176d512ea0a226fdfd8fd91db869a48c63c,bfb1ec561a2e58c455b3564458b43176d512ea0a226fdfd8fd91db869a48c63c,True,25,25,0,2738,2912,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
