source_artifact,evidence_kind,path,size_bytes,recorded_sha256,observed_sha256,verification_status
screening/codex/artifacts/stage4B_discovery/baseline_sequence_execution.csv,external_prediction,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Freeman3.csv,27053,9f5dce8721b43f5c0f6bdae3ac27283d36fc83d8b287c3ab2aed757edd7f5b16,9f5dce8721b43f5c0f6bdae3ac27283d36fc83d8b287c3ab2aed757edd7f5b16,VERIFIED
screening/codex/artifacts/stage4B_discovery/baseline_sequence_execution.csv,external_prediction,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Human7.csv,3739,a20ca52b25e05aba6181662912046ead5e85e4f07a05645faee128d069e7f2d1,a20ca52b25e05aba6181662912046ead5e85e4f07a05645faee128d069e7f2d1,VERIFIED
screening/codex/artifacts/stage4B_discovery/baseline_sequence_execution.csv,external_prediction,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Human8.csv,12538,d13a543f42a4dcfe38f7183e658d29886e9eca0c52ef51af686c9c295d594cf9,d13a543f42a4dcfe38f7183e658d29886e9eca0c52ef51af686c9c295d594cf9,VERIFIED
screening/codex/artifacts/stage4B_discovery/baseline_sequence_execution.csv,external_prediction,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Jogging_1.csv,17766,12019c05e5f0759154b81702b77d90b25910d5de6dd1ef78098b49d5e7672f75,12019c05e5f0759154b81702b77d90b25910d5de6dd1ef78098b49d5e7672f75,VERIFIED
screening/codex/artifacts/stage4B_discovery/baseline_sequence_execution.csv,external_prediction,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Liquor.csv,59234,f3dc00c703f41f96c71c261c18b3d887759ec60076c82443ff4e43015fdfe74b,f3dc00c703f41f96c71c261c18b3d887759ec60076c82443ff4e43015fdfe74b,VERIFIED
screening/codex/artifacts/stage4B_discovery/baseline_sequence_execution.csv,external_prediction,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Shaking.csv,2510,a30b2d074521210d0648c9e9b5e4eb3185392547e705817fce6ae99c43d16504,a30b2d074521210d0648c9e9b5e4eb3185392547e705817fce6ae99c43d16504,VERIFIED
screening/codex/artifacts/stage4B_discovery/baseline_sequence_execution.csv,external_prediction,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Singer1.csv,2503,e385b4f4a075a55027e3f238505fb863cf330cae6a1bb04159e4497876a37595,e385b4f4a075a55027e3f238505fb863cf330cae6a1bb04159e4497876a37595,VERIFIED
screening/codex/artifacts/stage4B_discovery/baseline_sequence_execution.csv,external_prediction,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Skating1.csv,13930,66ab7eaecb3a5b5309851842d52930d10a6771afd61e4dcb6cdf95d0d839afc2,66ab7eaecb3a5b5309851842d52930d10a6771afd61e4dcb6cdf95d0d839afc2,VERIFIED
screening/codex/artifacts/stage4B_discovery/baseline_sequence_execution.csv,external_prediction,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Subway.csv,4364,e54bb27466e2173e8b7a13eab22f98ca052fa66794008a9782727cfff0030c12,e54bb27466e2173e8b7a13eab22f98ca052fa66794008a9782727cfff0030c12,VERIFIED
screening/codex/artifacts/stage4B_discovery/baseline_sequence_execution.csv,external_prediction,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Woman.csv,20383,18deb4c625c5e88e9f62c5f06bbf796cf6cec972553c095b92e5fd4ab585cebe,18deb4c625c5e88e9f62c5f06bbf796cf6cec972553c095b92e5fd4ab585cebe,VERIFIED
screening/codex/artifacts/stage4B_discovery/criterionA_execution_summary.json,external_raw_log,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_raw_mrm.jsonl,10953239,9c48b8256309dd1127942befa79188b1b1547445263190dea7906fa8c3845696,,RECORDED_HASH_NOT_REOPENED_BOUNDARY_SAFE
screening/codex/artifacts/stage4B_discovery/criterionB_execution_summary.json,external_raw_log,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionB\criterionB_raw_mrm.jsonl,113160575,35957fe4b6a010ce5d0d40ff7c67d71c217f631ffd1da91f94ee9bc69dce148d,,RECORDED_HASH_NOT_REOPENED_BOUNDARY_SAFE
screening/codex/artifacts/stage4B_discovery/provenance_environment.json,external_raw_log,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\parity_instrumented.json,52236,4ada12ec9fdf6fa3be1d9e675de2028acc5d5e3c7584605219d32bb52ec04345,,RECORDED_HASH_NOT_REOPENED_BOUNDARY_SAFE
