pair_id,split,primary_sequence,primary_start,primary_end,primary_event_id,control_id,control_sequence,control_start,control_end,broad_superclass,object_class,final_evidence_tier,final_ambiguity_level,search_context_status,sensitivity_stratum,r3_pair_sheet_path,source_commit,manager_status
R3-D11,DISCOVERY,Freeman3,245,269,FRE3-E01,R3-CD11,David2,261,285,FACE_HEAD,face,TIER_B,1,INSIDE_OR_NEAR_NOMINAL_SEARCH,MULTI_FACE_BACKGROUND,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D11.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
R3-D12,DISCOVERY,Singer1,1,25,SING-E01,R3-CD12,Dancer,71,95,PERSON,person,TIER_B,1,INSIDE_NOMINAL_SEARCH,COSTUME_DIFFERENCE_CLASS_RESOLVED_PERSON,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D12.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
R3-H01,HOLDOUT,Crowds,33,37,CROWD-E01,R3-CH01,Crowds,161,165,PERSON,person,TIER_B,1,INSIDE_NOMINAL_SEARCH,STRONG_SAME_SEQUENCE,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_H01.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
R3-H02,HOLDOUT,BlurCar4,255,279,BC4-E01,R3-CH02,Suv,726,750,VEHICLE,car,TIER_A,2,INSIDE_NOMINAL_SEARCH,GRAYSCALE_COLOR_DOMAIN,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_H02.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
R3-H03,HOLDOUT,Soccer,170,180,SOCC-E01,R3-CH03,Man,106,116,FACE_HEAD,face,TIER_B,1,NEAR_SEARCH_BOUNDARY,CROWD_CLUTTER_VS_CLEAN,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_H03.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
R3-H04,HOLDOUT,Girl,411,429,GIRL-E01,R3-CH04,Girl,363,381,FACE_HEAD,face,TIER_A,2,INSIDE_NOMINAL_SEARCH,STRONG_SAME_SEQUENCE,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_H04.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
R3-H05,HOLDOUT,Human3,57,81,H3-E01,R3-CH05,Human3,264,288,PERSON,person,TIER_A,2,INSIDE_OR_NEAR_NOMINAL_SEARCH,STRONG_SAME_SEQUENCE,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_H05.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
R3-H06,HOLDOUT,Human3,1564,1588,H3-E02,R3-CH06,Human3,1418,1442,PERSON,person,TIER_B,1,NEAR_NOMINAL_SEARCH,STRONG_SAME_SEQUENCE,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_H06.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
R3-H07,HOLDOUT,Human4_2,73,97,H4-E01,R3-CH07,Walking2,393,417,PERSON,person,TIER_B,1,INSIDE_NOMINAL_SEARCH,CROSS_SCENE_ACTIVITY,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_H07.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
R3-H08,HOLDOUT,Suv,372,399,SUV-E01,R3-CH08,Suv,410,437,VEHICLE,car,TIER_A,2,INSIDE_NOMINAL_SEARCH,STRONG_SAME_SEQUENCE,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_H08.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
