comparison_id,scope,sequence,left_identity,left_relative_or_member_path,left_sha256,right_identity,right_relative_or_member_path,right_sha256,raw_bytes_equal,decoded_line_sequence_equal,first_differing_frame_or_na,left_row_at_first_difference_or_na,right_row_at_first_difference_or_na
E1-CMP-011,OFFICIAL_TO_OFFICIAL,Crossing,spiketrack_b256_t1.zip,otb/Crossing.txt,200933069627fc7f5b03a898e08ea24644058d3ee47a7a63ff791afe52103e8e,spiketrack_s256_t1.zip,otb/Crossing.txt,db3a37edc91171fc1572533c89ee879f33e2e19851039a7f7ac59e7548458aff,FALSE,FALSE,2,202	152	21	46,201	150	20	50
E1-CMP-012,OFFICIAL_TO_OFFICIAL,Couple,spiketrack_b256_t1.zip,otb/Couple.txt,359a45c049c6f1c4b8e12829a0b6664155c0e3aea80d5f4153891d3ebd4ef90a,spiketrack_s256_t1.zip,otb/Couple.txt,37307157d9ff3f30b83bfe96c362bfe66ccbccc5dad00c97ad64e77d3537ad34,FALSE,FALSE,2,47	39	25	64,47	39	25	67
E1-CMP-013,OFFICIAL_TO_OFFICIAL,Deer,spiketrack_b256_t1.zip,otb/Deer.txt,3b0f49d0b09e2cb1ace5a97e12ebec4eca444dd7edfd98386790d3ba93e50e98,spiketrack_s256_t3.zip,otb/Deer.txt,cd19199ffd72778640edeb6e6474dc6f03faa094e4bcb2c77b1d357f36ae2aa4,FALSE,FALSE,2,309	4	110	83,308	9	107	81
E1-CMP-014,OFFICIAL_TO_OFFICIAL,Crossing,spiketrack_b256_t1.zip,otb/Crossing.txt,200933069627fc7f5b03a898e08ea24644058d3ee47a7a63ff791afe52103e8e,spiketrack_s256_t3.zip,otb/Crossing.txt,634fdc7c4de41726b3eae42fa459033358229d4fd1469067eb3747a79e18d7a6,FALSE,FALSE,2,202	152	21	46,202	150	20	50
E1-CMP-015,OFFICIAL_TO_OFFICIAL,Couple,spiketrack_b256_t1.zip,otb/Couple.txt,359a45c049c6f1c4b8e12829a0b6664155c0e3aea80d5f4153891d3ebd4ef90a,spiketrack_s256_t3.zip,otb/Couple.txt,58f9428093a10ddac66efe43da0b6c0cc4dfc70818e4975e882e9f680efe3ca1,FALSE,FALSE,2,47	39	25	64,48	41	23	64
E1-CMP-016,OFFICIAL_TO_OFFICIAL,Deer,spiketrack_b256_t3.zip,otb/Deer.txt,74d52861b9da271c861e4c1452f8ee66e7eac3ace306384a6011e0aeb7bf9cdb,spiketrack_b384_t1.zip,otb/Deer.txt,b0813ee8115305a800c57ab2b7660633d13e82afecaf02a9beb8f555b40ae80d,FALSE,FALSE,2,310	12	98	78,312	2	108	83
E1-CMP-017,OFFICIAL_TO_OFFICIAL,Crossing,spiketrack_b256_t3.zip,otb/Crossing.txt,4950c6858adae86e97bdbbbab50fd585f352424942e532e3f948d24671147a9b,spiketrack_b384_t1.zip,otb/Crossing.txt,6ee769d07075d5cffa8bfab0a104169f758716b162a65428b0b1265b2454dbf0,FALSE,FALSE,2,202	151	20	46,201	151	21	49
E1-CMP-018,OFFICIAL_TO_OFFICIAL,Couple,spiketrack_b256_t3.zip,otb/Couple.txt,a43c3c89aa7df2218922d6c4a14b460d828a4294cc195704aa0fa0da05c37213,spiketrack_b384_t1.zip,otb/Couple.txt,1f790a6e773a80182f8baa783b44b053b604d462a2d1bcd9cca6cd45f088358a,FALSE,FALSE,2,46	40	26	64,47	39	25	64
E1-CMP-019,OFFICIAL_TO_OFFICIAL,Deer,spiketrack_b256_t3.zip,otb/Deer.txt,74d52861b9da271c861e4c1452f8ee66e7eac3ace306384a6011e0aeb7bf9cdb,spiketrack_b384_t3.zip,otb/Deer.txt,cab21d4d77325b67632331183b345f540604b7c160a4bf98d5160ff6b9dec726,FALSE,FALSE,2,310	12	98	78,310	13	92	76
E1-CMP-020,OFFICIAL_TO_OFFICIAL,Crossing,spiketrack_b256_t3.zip,otb/Crossing.txt,4950c6858adae86e97bdbbbab50fd585f352424942e532e3f948d24671147a9b,spiketrack_b384_t3.zip,otb/Crossing.txt,2ce7760a03f539aaa618484cefbc65da5ec0d18d84f8b5c0a46fb89e098503cd,FALSE,FALSE,2,202	151	20	46,202	150	20	50
E1-CMP-021,OFFICIAL_TO_OFFICIAL,Couple,spiketrack_b256_t3.zip,otb/Couple.txt,a43c3c89aa7df2218922d6c4a14b460d828a4294cc195704aa0fa0da05c37213,spiketrack_b384_t3.zip,otb/Couple.txt,cca65a6bc39524f524da3ab7577e4cf4dd64d4e2413a88bcc6ca9b67e3d523af,FALSE,FALSE,2,46	40	26	64,47	40	27	65
E1-CMP-022,OFFICIAL_TO_OFFICIAL,Deer,spiketrack_b256_t3.zip,otb/Deer.txt,74d52861b9da271c861e4c1452f8ee66e7eac3ace306384a6011e0aeb7bf9cdb,spiketrack_s256_t1.zip,otb/Deer.txt,ad1f83563b33df88524358c5d5e2f6bf7eb59c6d90b083a95ad6d8a5bbd618c7,FALSE,FALSE,2,310	12	98	78,308	6	99	86
E1-CMP-023,OFFICIAL_TO_OFFICIAL,Crossing,spiketrack_b256_t3.zip,otb/Crossing.txt,4950c6858adae86e97bdbbbab50fd585f352424942e532e3f948d24671147a9b,spiketrack_s256_t1.zip,otb/Crossing.txt,db3a37edc91171fc1572533c89ee879f33e2e19851039a7f7ac59e7548458aff,FALSE,FALSE,2,202	151	20	46,201	150	20	50
E1-CMP-024,OFFICIAL_TO_OFFICIAL,Couple,spiketrack_b256_t3.zip,otb/Couple.txt,a43c3c89aa7df2218922d6c4a14b460d828a4294cc195704aa0fa0da05c37213,spiketrack_s256_t1.zip,otb/Couple.txt,37307157d9ff3f30b83bfe96c362bfe66ccbccc5dad00c97ad64e77d3537ad34,FALSE,FALSE,2,46	40	26	64,47	39	25	67
E1-CMP-025,OFFICIAL_TO_OFFICIAL,Deer,spiketrack_b256_t3.zip,otb/Deer.txt,74d52861b9da271c861e4c1452f8ee66e7eac3ace306384a6011e0aeb7bf9cdb,spiketrack_s256_t3.zip,otb/Deer.txt,cd19199ffd72778640edeb6e6474dc6f03faa094e4bcb2c77b1d357f36ae2aa4,FALSE,FALSE,2,310	12	98	78,308	9	107	81
E1-CMP-026,OFFICIAL_TO_OFFICIAL,Crossing,spiketrack_b256_t3.zip,otb/Crossing.txt,4950c6858adae86e97bdbbbab50fd585f352424942e532e3f948d24671147a9b,spiketrack_s256_t3.zip,otb/Crossing.txt,634fdc7c4de41726b3eae42fa459033358229d4fd1469067eb3747a79e18d7a6,FALSE,FALSE,2,202	151	20	46,202	150	20	50
E1-CMP-027,OFFICIAL_TO_OFFICIAL,Couple,spiketrack_b256_t3.zip,otb/Couple.txt,a43c3c89aa7df2218922d6c4a14b460d828a4294cc195704aa0fa0da05c37213,spiketrack_s256_t3.zip,otb/Couple.txt,58f9428093a10ddac66efe43da0b6c0cc4dfc70818e4975e882e9f680efe3ca1,FALSE,FALSE,2,46	40	26	64,48	41	23	64
E1-CMP-028,OFFICIAL_TO_OFFICIAL,Deer,spiketrack_b384_t1.zip,otb/Deer.txt,b0813ee8115305a800c57ab2b7660633d13e82afecaf02a9beb8f555b40ae80d,spiketrack_b384_t3.zip,otb/Deer.txt,cab21d4d77325b67632331183b345f540604b7c160a4bf98d5160ff6b9dec726,FALSE,FALSE,2,312	2	108	83,310	13	92	76
E1-CMP-029,OFFICIAL_TO_OFFICIAL,Crossing,spiketrack_b384_t1.zip,otb/Crossing.txt,6ee769d07075d5cffa8bfab0a104169f758716b162a65428b0b1265b2454dbf0,spiketrack_b384_t3.zip,otb/Crossing.txt,2ce7760a03f539aaa618484cefbc65da5ec0d18d84f8b5c0a46fb89e098503cd,FALSE,FALSE,2,201	151	21	49,202	150	20	50
E1-CMP-030,OFFICIAL_TO_OFFICIAL,Couple,spiketrack_b384_t1.zip,otb/Couple.txt,1f790a6e773a80182f8baa783b44b053b604d462a2d1bcd9cca6cd45f088358a,spiketrack_b384_t3.zip,otb/Couple.txt,cca65a6bc39524f524da3ab7577e4cf4dd64d4e2413a88bcc6ca9b67e3d523af,FALSE,FALSE,2,47	39	25	64,47	40	27	65
E1-CMP-031,OFFICIAL_TO_OFFICIAL,Deer,spiketrack_b384_t1.zip,otb/Deer.txt,b0813ee8115305a800c57ab2b7660633d13e82afecaf02a9beb8f555b40ae80d,spiketrack_s256_t1.zip,otb/Deer.txt,ad1f83563b33df88524358c5d5e2f6bf7eb59c6d90b083a95ad6d8a5bbd618c7,FALSE,FALSE,2,312	2	108	83,308	6	99	86
E1-CMP-032,OFFICIAL_TO_OFFICIAL,Crossing,spiketrack_b384_t1.zip,otb/Crossing.txt,6ee769d07075d5cffa8bfab0a104169f758716b162a65428b0b1265b2454dbf0,spiketrack_s256_t1.zip,otb/Crossing.txt,db3a37edc91171fc1572533c89ee879f33e2e19851039a7f7ac59e7548458aff,FALSE,FALSE,2,201	151	21	49,201	150	20	50
E1-CMP-033,OFFICIAL_TO_OFFICIAL,Couple,spiketrack_b384_t1.zip,otb/Couple.txt,1f790a6e773a80182f8baa783b44b053b604d462a2d1bcd9cca6cd45f088358a,spiketrack_s256_t1.zip,otb/Couple.txt,37307157d9ff3f30b83bfe96c362bfe66ccbccc5dad00c97ad64e77d3537ad34,FALSE,FALSE,2,47	39	25	64,47	39	25	67
E1-CMP-034,OFFICIAL_TO_OFFICIAL,Deer,spiketrack_b384_t1.zip,otb/Deer.txt,b0813ee8115305a800c57ab2b7660633d13e82afecaf02a9beb8f555b40ae80d,spiketrack_s256_t3.zip,otb/Deer.txt,cd19199ffd72778640edeb6e6474dc6f03faa094e4bcb2c77b1d357f36ae2aa4,FALSE,FALSE,2,312	2	108	83,308	9	107	81
E1-CMP-035,OFFICIAL_TO_OFFICIAL,Crossing,spiketrack_b384_t1.zip,otb/Crossing.txt,6ee769d07075d5cffa8bfab0a104169f758716b162a65428b0b1265b2454dbf0,spiketrack_s256_t3.zip,otb/Crossing.txt,634fdc7c4de41726b3eae42fa459033358229d4fd1469067eb3747a79e18d7a6,FALSE,FALSE,2,201	151	21	49,202	150	20	50
E1-CMP-036,OFFICIAL_TO_OFFICIAL,Couple,spiketrack_b384_t1.zip,otb/Couple.txt,1f790a6e773a80182f8baa783b44b053b604d462a2d1bcd9cca6cd45f088358a,spiketrack_s256_t3.zip,otb/Couple.txt,58f9428093a10ddac66efe43da0b6c0cc4dfc70818e4975e882e9f680efe3ca1,FALSE,FALSE,2,47	39	25	64,48	41	23	64
E1-CMP-037,OFFICIAL_TO_OFFICIAL,Deer,spiketrack_b384_t3.zip,otb/Deer.txt,cab21d4d77325b67632331183b345f540604b7c160a4bf98d5160ff6b9dec726,spiketrack_s256_t1.zip,otb/Deer.txt,ad1f83563b33df88524358c5d5e2f6bf7eb59c6d90b083a95ad6d8a5bbd618c7,FALSE,FALSE,2,310	13	92	76,308	6	99	86
E1-CMP-038,OFFICIAL_TO_OFFICIAL,Crossing,spiketrack_b384_t3.zip,otb/Crossing.txt,2ce7760a03f539aaa618484cefbc65da5ec0d18d84f8b5c0a46fb89e098503cd,spiketrack_s256_t1.zip,otb/Crossing.txt,db3a37edc91171fc1572533c89ee879f33e2e19851039a7f7ac59e7548458aff,FALSE,FALSE,2,202	150	20	50,201	150	20	50
E1-CMP-039,OFFICIAL_TO_OFFICIAL,Couple,spiketrack_b384_t3.zip,otb/Couple.txt,cca65a6bc39524f524da3ab7577e4cf4dd64d4e2413a88bcc6ca9b67e3d523af,spiketrack_s256_t1.zip,otb/Couple.txt,37307157d9ff3f30b83bfe96c362bfe66ccbccc5dad00c97ad64e77d3537ad34,FALSE,FALSE,2,47	40	27	65,47	39	25	67
E1-CMP-040,OFFICIAL_TO_OFFICIAL,Deer,spiketrack_b384_t3.zip,otb/Deer.txt,cab21d4d77325b67632331183b345f540604b7c160a4bf98d5160ff6b9dec726,spiketrack_s256_t3.zip,otb/Deer.txt,cd19199ffd72778640edeb6e6474dc6f03faa094e4bcb2c77b1d357f36ae2aa4,FALSE,FALSE,2,310	13	92	76,308	9	107	81
E1-CMP-041,OFFICIAL_TO_OFFICIAL,Crossing,spiketrack_b384_t3.zip,otb/Crossing.txt,2ce7760a03f539aaa618484cefbc65da5ec0d18d84f8b5c0a46fb89e098503cd,spiketrack_s256_t3.zip,otb/Crossing.txt,634fdc7c4de41726b3eae42fa459033358229d4fd1469067eb3747a79e18d7a6,FALSE,FALSE,3,201	151	19	47,200	152	20	45
E1-CMP-042,OFFICIAL_TO_OFFICIAL,Couple,spiketrack_b384_t3.zip,otb/Couple.txt,cca65a6bc39524f524da3ab7577e4cf4dd64d4e2413a88bcc6ca9b67e3d523af,spiketrack_s256_t3.zip,otb/Couple.txt,58f9428093a10ddac66efe43da0b6c0cc4dfc70818e4975e882e9f680efe3ca1,FALSE,FALSE,2,47	40	27	65,48	41	23	64
E1-CMP-043,OFFICIAL_TO_OFFICIAL,Deer,spiketrack_s256_t1.zip,otb/Deer.txt,ad1f83563b33df88524358c5d5e2f6bf7eb59c6d90b083a95ad6d8a5bbd618c7,spiketrack_s256_t3.zip,otb/Deer.txt,cd19199ffd72778640edeb6e6474dc6f03faa094e4bcb2c77b1d357f36ae2aa4,FALSE,FALSE,2,308	6	99	86,308	9	107	81
E1-CMP-044,OFFICIAL_TO_OFFICIAL,Crossing,spiketrack_s256_t1.zip,otb/Crossing.txt,db3a37edc91171fc1572533c89ee879f33e2e19851039a7f7ac59e7548458aff,spiketrack_s256_t3.zip,otb/Crossing.txt,634fdc7c4de41726b3eae42fa459033358229d4fd1469067eb3747a79e18d7a6,FALSE,FALSE,2,201	150	20	50,202	150	20	50
E1-CMP-045,OFFICIAL_TO_OFFICIAL,Couple,spiketrack_s256_t1.zip,otb/Couple.txt,37307157d9ff3f30b83bfe96c362bfe66ccbccc5dad00c97ad64e77d3537ad34,spiketrack_s256_t3.zip,otb/Couple.txt,58f9428093a10ddac66efe43da0b6c0cc4dfc70818e4975e882e9f680efe3ca1,FALSE,FALSE,2,47	39	25	67,48	41	23	64
E1-CMP-046,OFFICIAL_TO_EXISTING_LOCAL_T1,Deer,spiketrack_b256_t1.zip,otb/Deer.txt,3b0f49d0b09e2cb1ace5a97e12ebec4eca444dd7edfd98386790d3ba93e50e98,local_t1:adapter_deterministic,screening/codex/artifacts/stage4A_reproduction/adapter_deterministic/Deer.txt,88a49dcd23393584e5b7a42061a9a3b89dcb851ae308694a130b3f24e54fdf5d,FALSE,FALSE,2,309	4	110	83,307	4	105	81
E1-CMP-047,OFFICIAL_TO_EXISTING_LOCAL_T1,Crossing,spiketrack_b256_t1.zip,otb/Crossing.txt,200933069627fc7f5b03a898e08ea24644058d3ee47a7a63ff791afe52103e8e,local_t1:adapter_deterministic,screening/codex/artifacts/stage4A_reproduction/adapter_deterministic/Crossing.txt,039d9ca96e1ecf9f0714c88337e4eebd826e2cb78842984e33c5de775f28f65f,FALSE,FALSE,2,202	152	21	46,202	149	19	51
E1-CMP-048,OFFICIAL_TO_EXISTING_LOCAL_T1,Couple,spiketrack_b256_t1.zip,otb/Couple.txt,359a45c049c6f1c4b8e12829a0b6664155c0e3aea80d5f4153891d3ebd4ef90a,local_t1:adapter_deterministic,screening/codex/artifacts/stage4A_reproduction/adapter_deterministic/Couple.txt,ced31cb5af587bbe069415163ef0d9a3d47779e5b116e4f619b5a0b80b7efe38,FALSE,FALSE,2,47	39	25	64,49	40	23	66
E1-CMP-049,OFFICIAL_TO_EXISTING_LOCAL_T1,Deer,spiketrack_b256_t1.zip,otb/Deer.txt,3b0f49d0b09e2cb1ace5a97e12ebec4eca444dd7edfd98386790d3ba93e50e98,local_t1:official_runner_deterministic,screening/codex/artifacts/stage4A_reproduction/official_runner_deterministic/Deer.txt,88a49dcd23393584e5b7a42061a9a3b89dcb851ae308694a130b3f24e54fdf5d,FALSE,FALSE,2,309	4	110	83,307	4	105	81
E1-CMP-050,OFFICIAL_TO_EXISTING_LOCAL_T1,Crossing,spiketrack_b256_t1.zip,otb/Crossing.txt,200933069627fc7f5b03a898e08ea24644058d3ee47a7a63ff791afe52103e8e,local_t1:official_runner_deterministic,screening/codex/artifacts/stage4A_reproduction/official_runner_deterministic/Crossing.txt,039d9ca96e1ecf9f0714c88337e4eebd826e2cb78842984e33c5de775f28f65f,FALSE,FALSE,2,202	152	21	46,202	149	19	51
E1-CMP-051,OFFICIAL_TO_EXISTING_LOCAL_T1,Couple,spiketrack_b256_t1.zip,otb/Couple.txt,359a45c049c6f1c4b8e12829a0b6664155c0e3aea80d5f4153891d3ebd4ef90a,local_t1:official_runner_deterministic,screening/codex/artifacts/stage4A_reproduction/official_runner_deterministic/Couple.txt,ced31cb5af587bbe069415163ef0d9a3d47779e5b116e4f619b5a0b80b7efe38,FALSE,FALSE,2,47	39	25	64,49	40	23	66
E1-CMP-052,OFFICIAL_TO_EXISTING_LOCAL_T1,Deer,spiketrack_b256_t1.zip,otb/Deer.txt,3b0f49d0b09e2cb1ace5a97e12ebec4eca444dd7edfd98386790d3ba93e50e98,local_t1:official_runner_default_run1,screening/codex/artifacts/stage4A_reproduction/official_runner_default_run1/Deer.txt,88a49dcd23393584e5b7a42061a9a3b89dcb851ae308694a130b3f24e54fdf5d,FALSE,FALSE,2,309	4	110	83,307	4	105	81
E1-CMP-053,OFFICIAL_TO_EXISTING_LOCAL_T1,Crossing,spiketrack_b256_t1.zip,otb/Crossing.txt,200933069627fc7f5b03a898e08ea24644058d3ee47a7a63ff791afe52103e8e,local_t1:official_runner_default_run1,screening/codex/artifacts/stage4A_reproduction/official_runner_default_run1/Crossing.txt,039d9ca96e1ecf9f0714c88337e4eebd826e2cb78842984e33c5de775f28f65f,FALSE,FALSE,2,202	152	21	46,202	149	19	51
E1-CMP-054,OFFICIAL_TO_EXISTING_LOCAL_T1,Couple,spiketrack_b256_t1.zip,otb/Couple.txt,359a45c049c6f1c4b8e12829a0b6664155c0e3aea80d5f4153891d3ebd4ef90a,local_t1:official_runner_default_run1,screening/codex/artifacts/stage4A_reproduction/official_runner_default_run1/Couple.txt,ced31cb5af587bbe069415163ef0d9a3d47779e5b116e4f619b5a0b80b7efe38,FALSE,FALSE,2,47	39	25	64,49	40	23	66
E1-CMP-055,OFFICIAL_TO_EXISTING_LOCAL_T1,Deer,spiketrack_b256_t1.zip,otb/Deer.txt,3b0f49d0b09e2cb1ace5a97e12ebec4eca444dd7edfd98386790d3ba93e50e98,local_t1:official_runner_default_run2,screening/codex/artifacts/stage4A_reproduction/official_runner_default_run2/Deer.txt,88a49dcd23393584e5b7a42061a9a3b89dcb851ae308694a130b3f24e54fdf5d,FALSE,FALSE,2,309	4	110	83,307	4	105	81
E1-CMP-056,OFFICIAL_TO_EXISTING_LOCAL_T1,Crossing,spiketrack_b256_t1.zip,otb/Crossing.txt,200933069627fc7f5b03a898e08ea24644058d3ee47a7a63ff791afe52103e8e,local_t1:official_runner_default_run2,screening/codex/artifacts/stage4A_reproduction/official_runner_default_run2/Crossing.txt,039d9ca96e1ecf9f0714c88337e4eebd826e2cb78842984e33c5de775f28f65f,FALSE,FALSE,2,202	152	21	46,202	149	19	51
E1-CMP-057,OFFICIAL_TO_EXISTING_LOCAL_T1,Couple,spiketrack_b256_t1.zip,otb/Couple.txt,359a45c049c6f1c4b8e12829a0b6664155c0e3aea80d5f4153891d3ebd4ef90a,local_t1:official_runner_default_run2,screening/codex/artifacts/stage4A_reproduction/official_runner_default_run2/Couple.txt,ced31cb5af587bbe069415163ef0d9a3d47779e5b116e4f619b5a0b80b7efe38,FALSE,FALSE,2,47	39	25	64,49	40	23	66
E1-CMP-058,OFFICIAL_TO_EXISTING_LOCAL_T1,Deer,spiketrack_b256_t1.zip,otb/Deer.txt,3b0f49d0b09e2cb1ace5a97e12ebec4eca444dd7edfd98386790d3ba93e50e98,local_t1:official_runner_default_run3,screening/codex/artifacts/stage4A_reproduction/official_runner_default_run3/Deer.txt,88a49dcd23393584e5b7a42061a9a3b89dcb851ae308694a130b3f24e54fdf5d,FALSE,FALSE,2,309	4	110	83,307	4	105	81
E1-CMP-059,OFFICIAL_TO_EXISTING_LOCAL_T1,Crossing,spiketrack_b256_t1.zip,otb/Crossing.txt,200933069627fc7f5b03a898e08ea24644058d3ee47a7a63ff791afe52103e8e,local_t1:official_runner_default_run3,screening/codex/artifacts/stage4A_reproduction/official_runner_default_run3/Crossing.txt,039d9ca96e1ecf9f0714c88337e4eebd826e2cb78842984e33c5de775f28f65f,FALSE,FALSE,2,202	152	21	46,202	149	19	51
E1-CMP-060,OFFICIAL_TO_EXISTING_LOCAL_T1,Couple,spiketrack_b256_t1.zip,otb/Couple.txt,359a45c049c6f1c4b8e12829a0b6664155c0e3aea80d5f4153891d3ebd4ef90a,local_t1:official_runner_default_run3,screening/codex/artifacts/stage4A_reproduction/official_runner_default_run3/Couple.txt,ced31cb5af587bbe069415163ef0d9a3d47779e5b116e4f619b5a0b80b7efe38,FALSE,FALSE,2,47	39	25	64,49	40	23	66
E1-CMP-061,OFFICIAL_TO_EXISTING_LOCAL_T1,Deer,spiketrack_b256_t1.zip,otb/Deer.txt,3b0f49d0b09e2cb1ace5a97e12ebec4eca444dd7edfd98386790d3ba93e50e98,local_t1:previous_adapter_preserved,screening/codex/artifacts/stage4A_reproduction/previous_adapter_preserved/Deer.txt,88a49dcd23393584e5b7a42061a9a3b89dcb851ae308694a130b3f24e54fdf5d,FALSE,FALSE,2,309	4	110	83,307	4	105	81
E1-CMP-062,OFFICIAL_TO_EXISTING_LOCAL_T1,Crossing,spiketrack_b256_t1.zip,otb/Crossing.txt,200933069627fc7f5b03a898e08ea24644058d3ee47a7a63ff791afe52103e8e,local_t1:previous_adapter_preserved,screening/codex/artifacts/stage4A_reproduction/previous_adapter_preserved/Crossing.txt,039d9ca96e1ecf9f0714c88337e4eebd826e2cb78842984e33c5de775f28f65f,FALSE,FALSE,2,202	152	21	46,202	149	19	51
E1-CMP-063,OFFICIAL_TO_EXISTING_LOCAL_T1,Couple,spiketrack_b256_t1.zip,otb/Couple.txt,359a45c049c6f1c4b8e12829a0b6664155c0e3aea80d5f4153891d3ebd4ef90a,local_t1:previous_adapter_preserved,screening/codex/artifacts/stage4A_reproduction/previous_adapter_preserved/Couple.txt,ced31cb5af587bbe069415163ef0d9a3d47779e5b116e4f619b5a0b80b7efe38,FALSE,FALSE,2,47	39	25	64,49	40	23	66
E1-CMP-064,OFFICIAL_TO_EXISTING_LOCAL_T1,Deer,spiketrack_b256_t3.zip,otb/Deer.txt,74d52861b9da271c861e4c1452f8ee66e7eac3ace306384a6011e0aeb7bf9cdb,local_t1:adapter_deterministic,screening/codex/artifacts/stage4A_reproduction/adapter_deterministic/Deer.txt,88a49dcd23393584e5b7a42061a9a3b89dcb851ae308694a130b3f24e54fdf5d,FALSE,FALSE,2,310	12	98	78,307	4	105	81
E1-CMP-065,OFFICIAL_TO_EXISTING_LOCAL_T1,Crossing,spiketrack_b256_t3.zip,otb/Crossing.txt,4950c6858adae86e97bdbbbab50fd585f352424942e532e3f948d24671147a9b,local_t1:adapter_deterministic,screening/codex/artifacts/stage4A_reproduction/adapter_deterministic/Crossing.txt,039d9ca96e1ecf9f0714c88337e4eebd826e2cb78842984e33c5de775f28f65f,FALSE,FALSE,2,202	151	20	46,202	149	19	51
