pair_id,side,sequence,frame_index,condition,repetition,iou,iou_float,physical_skip,pred_x_float,pred_y_float,pred_w_float,pred_h_float,pred_x_int,pred_y_int,pred_w_int,pred_h_int,gt_x,gt_y,gt_w,gt_h,initialization_frame,branch_frame_executed
R3-D01,primary,Basketball,407,whole_mrm1_physical_skip,1,0.34253731343283583,0.33570012027724144,True,139.04017639160156,214.42118072509766,60.93272399902344,134.63619995117188,139,214,60,134,154.0,230.0,34.0,81.0,False,True
R3-D01,primary,Basketball,408,whole_mrm1_physical_skip,1,0.5941747572815534,0.580574601512939,True,147.94119453430176,222.41998672485352,45.6130485534668,103.99604034423828,147,222,45,103,155.0,235.0,34.0,81.0,False,True
R3-D01,primary,Basketball,409,whole_mrm1_physical_skip,1,0.4522167487684729,0.44222907937495526,True,141.1591396331787,227.2232322692871,58.888980865478516,105.75054168701172,141,227,58,105,159.0,235.0,34.0,81.0,False,True
R3-D01,primary,Basketball,410,whole_mrm1_physical_skip,1,0.36160714285714285,0.35674740218158035,True,143.69296264648438,211.74803924560547,56.47166442871094,136.70126342773438,143,211,56,136,158.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,411,whole_mrm1_physical_skip,1,0.349758699517399,0.34439834219080495,True,143.08868026733398,221.16372680664062,62.503501892089844,127.93769836425781,143,221,62,127,160.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,412,whole_mrm1_physical_skip,1,0.3362637362637363,0.33295101081509765,True,144.87229537963867,219.8331298828125,63.56890106201172,130.1184539794922,144,219,63,130,160.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,413,whole_mrm1_physical_skip,1,0.2810777709736681,0.27586290313408324,True,141.24404525756836,211.4215545654297,69.91417694091797,142.79249572753906,141,211,69,142,159.0,236.0,34.0,81.0,False,True
R3-D01,primary,Basketball,414,whole_mrm1_physical_skip,1,0.2390625,0.23625326540542174,True,131.69276809692383,202.443359375,80.8724136352539,144.14039611816406,131,202,80,144,161.0,233.0,34.0,81.0,False,True
R3-D01,primary,Basketball,415,whole_mrm1_physical_skip,1,0.30784708249496984,0.3063014234868483,True,142.43848037719727,205.24311065673828,63.08325958251953,142.5281982421875,142,205,63,142,162.0,233.0,34.0,81.0,False,True
R3-D01,primary,Basketball,416,whole_mrm1_physical_skip,1,0.3764866712235133,0.3735676051964182,True,148.6922950744629,216.0810089111328,55.14704132080078,133.68186950683594,148,216,55,133,162.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,417,whole_mrm1_physical_skip,1,0.3998257839721254,0.3976211587455792,True,153.91803169250488,221.25751495361328,56.02680587768555,123.622802734375,153,221,56,123,163.0,235.0,34.0,81.0,False,True
R3-D01,primary,Basketball,418,whole_mrm1_physical_skip,1,0.3472887767969735,0.3439877179206748,True,152.9737148284912,219.2092514038086,61.34524917602539,130.50888061523438,152,219,61,130,165.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,419,whole_mrm1_physical_skip,1,0.3793388429752066,0.3733135901749578,True,152.2680606842041,215.78224182128906,60.894100189208984,121.14762878417969,152,215,60,121,162.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,420,whole_mrm1_physical_skip,1,0.349758699517399,0.3486028515630815,True,152.93196296691895,219.94464874267578,62.16682052612305,127.07916259765625,152,219,62,127,166.0,235.0,34.0,81.0,False,True
R3-D01,primary,Basketball,421,whole_mrm1_physical_skip,1,0.3336159903089037,0.3264010145203414,True,152.98258209228516,217.8412742614746,65.99069213867188,127.8585433959961,152,217,65,127,166.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,422,whole_mrm1_physical_skip,1,0.3554924486898154,0.35119102551386916,True,154.34175491333008,218.30532836914062,61.405067443847656,127.70747375488281,154,218,61,127,166.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,423,whole_mrm1_physical_skip,1,0.3388704318936877,0.33860212477965695,True,155.9861183166504,219.04073333740234,63.03620147705078,129.028076171875,155,219,63,129,166.0,235.0,34.0,81.0,False,True
R3-D01,primary,Basketball,424,whole_mrm1_physical_skip,1,0.3672,0.3649426939500761,True,155.7347927093506,221.96404647827148,60.23703384399414,125.27825164794922,155,221,60,125,166.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,425,whole_mrm1_physical_skip,1,0.392811296534018,0.3889132072202306,True,157.02926635742188,221.35749053955078,57.46516418457031,123.22720336914062,157,221,57,123,166.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,426,whole_mrm1_physical_skip,1,0.3589676746611053,0.35394823276930726,True,155.90602684020996,216.75606536865234,56.773563385009766,137.0496826171875,155,216,56,137,167.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,427,whole_mrm1_physical_skip,1,0.4038123167155425,0.4009440564985798,True,158.57127952575684,222.26745986938477,55.37332534790039,124.04508209228516,158,222,55,124,169.0,235.0,34.0,81.0,False,True
R3-D01,primary,Basketball,428,whole_mrm1_physical_skip,1,0.411044776119403,0.4011519866433841,True,161.2506980895996,216.24317169189453,50.93486785888672,134.78445434570312,161,216,50,134,171.0,235.0,34.0,81.0,False,True
R3-D01,primary,Basketball,429,whole_mrm1_physical_skip,1,0.38636363636363635,0.38426573760257027,True,159.0662899017334,219.33209991455078,54.10013198852539,132.47500610351562,159,219,54,132,173.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,430,whole_mrm1_physical_skip,1,0.37382923849599564,0.36570586579582426,True,164.4200954437256,213.1916961669922,53.912845611572266,139.68177795410156,164,213,53,139,174.0,233.0,34.0,81.0,False,True
R3-D01,primary,Basketball,431,whole_mrm1_physical_skip,1,0.29805194805194807,0.2945279078186286,True,156.04307556152344,212.7481689453125,66.39582824707031,140.8304901123047,156,212,66,140,177.0,235.0,34.0,81.0,False,True
R3-D01,primary,Basketball,432,whole_mrm1_physical_skip,1,0.29360341151385927,0.28967841939473343,True,154.91553115844727,219.98546600341797,70.7370376586914,134.4005126953125,154,219,70,134,177.0,235.0,34.0,81.0,False,True
R3-D01,primary,Basketball,433,whole_mrm1_physical_skip,1,0.4156981132075472,0.41008506347239126,True,164.1940383911133,213.90839004516602,53.30450439453125,125.98709869384766,164,213,53,125,178.0,237.0,34.0,81.0,False,True
R3-D01,primary,Basketball,434,whole_mrm1_physical_skip,1,0.45520661157024794,0.45348450480335045,True,170.59056091308597,224.0237159729004,50.06248474121094,121.30789947509766,170,224,50,121,181.0,236.0,34.0,81.0,False,True
R3-D01,primary,Basketball,435,whole_mrm1_physical_skip,1,0.4153846153846154,0.4098506403109717,True,168.19656372070315,218.7993927001953,51.30644226074219,130.96836853027344,168,218,51,130,182.0,235.0,34.0,81.0,False,True
R3-D01,primary,Basketball,397,baseline,1,0.2819410319410319,0.2817108352929645,False,132.16757202148438,209.39632415771484,66.03715515136719,148.03759765625,132,209,66,148,154.0,237.0,34.0,81.0,False,True
R3-D01,primary,Basketball,398,baseline,1,0.24646500805441202,0.24565215901636966,False,127.88592529296878,207.81177520751953,74.12876892089844,151.23648071289062,127,207,74,151,153.0,237.0,34.0,81.0,False,True
R3-D01,primary,Basketball,399,baseline,1,0.3812292358803987,0.37313474248913003,False,143.75867271423343,224.84815216064453,56.82657241821289,129.88134765625,143,224,56,129,153.0,240.0,34.0,81.0,False,True
R3-D01,primary,Basketball,400,baseline,1,0.4,0.39084850560572176,False,145.70340538024905,221.1922607421875,51.906009674072266,135.74937438964844,145,221,51,135,149.0,238.0,34.0,81.0,False,True
R3-D01,primary,Basketball,401,baseline,1,0.3465894789831362,0.3404682075474597,False,139.8292331695557,219.12036895751953,58.88723373413086,137.36187744140625,139,219,58,137,150.0,239.0,34.0,81.0,False,True
R3-D01,primary,Basketball,402,baseline,1,0.359717868338558,0.35656832866889626,False,139.67025947570804,220.60733032226562,58.1261100769043,132.8770294189453,139,220,58,132,152.0,238.0,34.0,81.0,False,True
R3-D01,primary,Basketball,403,baseline,1,0.40982142857142856,0.4043623765907547,False,142.3531017303467,225.97679901123047,56.6795539855957,120.16189575195312,142,225,56,120,152.0,236.0,34.0,81.0,False,True
R3-D01,primary,Basketball,404,baseline,1,0.3936535162950257,0.3865910828154797,False,141.29856872558597,218.70195770263672,53.93717956542969,132.07598876953125,141,218,53,132,155.0,236.0,34.0,81.0,False,True
R3-D01,primary,Basketball,405,baseline,1,0.4015748031496063,0.40088028094340844,False,144.58328819274905,219.30941009521484,54.003910064697266,127.2108154296875,144,219,54,127,155.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,406,baseline,1,0.3362637362637363,0.3316041226377432,False,135.4904594421387,220.51512145996094,63.76787567138672,130.2393035888672,135,220,63,130,155.0,233.0,34.0,81.0,False,True
R3-D01,primary,Basketball,407,baseline,1,0.3563203519213352,0.3537030187673574,False,138.39450263977054,220.3891372680664,59.42472457885742,131.02615356445312,138,220,59,131,154.0,230.0,34.0,81.0,False,True
R3-D01,primary,Basketball,408,baseline,1,0.49496764917325664,0.4829314593499791,False,143.33987808227542,229.61128616333008,52.87531280517578,107.85132598876953,143,229,52,107,155.0,235.0,34.0,81.0,False,True
R3-D01,primary,Basketball,409,baseline,1,0.38816067653276953,0.38293088024796085,False,144.31059074401858,216.6826629638672,55.60133743286133,129.3475799560547,144,216,55,129,159.0,235.0,34.0,81.0,False,True
R3-D01,primary,Basketball,410,baseline,1,0.3583138173302108,0.35407602028462576,False,140.44364929199222,221.94133758544922,61.54936218261719,126.36996459960938,140,221,61,126,158.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,411,baseline,1,0.36141732283464567,0.35823548699658325,False,144.55444526672366,219.43092727661133,60.2584342956543,127.57849884033203,144,219,60,127,160.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,412,baseline,1,0.3362637362637363,0.33576642177230503,False,141.88244628906253,224.1916732788086,65.06385803222656,126.06277465820312,141,224,65,126,160.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,413,baseline,1,0.4243451463790447,0.4169825039497526,False,143.50629615783694,223.89748001098633,59.927669525146484,110.20941925048828,143,223,59,110,159.0,236.0,34.0,81.0,False,True
R3-D01,primary,Basketball,414,baseline,1,0.2295,0.2262681935066024,False,136.5528831481934,203.86370086669922,80.68389129638672,150.85287475585938,136,203,80,150,161.0,233.0,34.0,81.0,False,True
R3-D01,primary,Basketball,415,baseline,1,0.13248665031029008,0.1323133115301039,False,116.3200302124024,179.38236236572266,123.09274291992188,169.09390258789062,116,179,123,169,162.0,233.0,34.0,81.0,False,True
R3-D01,primary,Basketball,416,baseline,1,0.12053571428571429,0.11958182159977256,False,112.52919006347662,150.796142578125,119.55271911621094,192.63682556152344,112,150,119,192,162.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,417,baseline,1,0.21430238891915027,0.21261630888662147,False,143.51707839965826,175.23111724853516,71.5281753540039,181.08822631835938,143,175,71,181,163.0,235.0,34.0,81.0,False,True
R3-D01,primary,Basketball,418,baseline,1,0.0,0.0,False,135.29471397399908,127.0700798034668,54.70383071899414,90.08983612060547,135,127,54,90,165.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,419,baseline,1,0.0,0.0,False,129.9714851379395,128.9008331298828,65.5937271118164,100.73139953613281,129,128,65,100,162.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,420,baseline,1,0.011390284757118929,0.01373656692052765,False,125.62966918945318,121.41091537475586,79.82447814941406,118.45513153076172,125,121,79,118,166.0,235.0,34.0,81.0,False,True
R3-D01,primary,Basketball,421,baseline,1,0.0,0.0,False,133.07168006896978,132.42369079589844,56.157588958740234,94.86940002441406,133,132,56,94,166.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,422,baseline,1,0.0,0.0,False,134.23729896545416,125.25529479980469,55.823177337646484,97.42759704589844,134,125,55,97,166.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,423,baseline,1,0.0,0.0,False,128.95250129699713,121.65631484985352,59.73225021362305,103.44239044189453,128,121,59,103,166.0,235.0,34.0,81.0,False,True
R3-D01,primary,Basketball,424,baseline,1,0.0,0.0,False,138.52891349792486,122.62921524047852,50.19581985473633,101.97657012939453,138,122,50,101,166.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,425,baseline,1,0.0,0.0,False,128.4600734710694,123.8596076965332,60.966617584228516,97.71048736572266,128,123,60,97,166.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,426,baseline,1,0.0,0.0,False,130.31374740600592,120.26456832885742,58.52355194091797,107.10079193115234,130,120,58,107,167.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,427,baseline,1,0.0,0.0,False,131.025224685669,118.11761474609375,62.22452926635742,109.39118957519531,131,118,62,109,169.0,235.0,34.0,81.0,False,True
R3-D01,primary,Basketball,428,baseline,1,0.0,0.0,False,116.66723632812506,111.3266487121582,87.93013000488281,119.79886627197266,116,111,87,119,171.0,235.0,34.0,81.0,False,True
R3-D01,primary,Basketball,429,baseline,1,0.0,0.0,False,118.69026565551763,118.57975769042969,72.37674713134766,113.05342102050781,118,118,72,113,173.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,430,baseline,1,0.0,0.0,False,124.46297073364263,110.57190322875977,68.09122467041016,113.0185317993164,124,110,68,113,174.0,233.0,34.0,81.0,False,True
R3-D01,primary,Basketball,431,baseline,1,0.0,0.0,False,118.66020202636724,104.80754852294922,71.66642761230469,124.45272827148438,118,104,71,124,177.0,235.0,34.0,81.0,False,True
R3-D01,primary,Basketball,432,baseline,1,0.0,0.0,False,114.50915908813482,98.40360260009766,91.05921173095703,131.083251953125,114,98,91,131,177.0,235.0,34.0,81.0,False,True
R3-D01,primary,Basketball,433,baseline,1,0.0,0.00013463039256312803,False,99.59300994873053,95.07244110107422,123.781005859375,142.008056640625,99,95,123,142,178.0,237.0,34.0,81.0,False,True
R3-D01,primary,Basketball,434,baseline,1,0.004262075881664717,0.005692625911455196,False,111.61987304687506,87.60246276855469,140.33543395996094,152.41700744628906,111,87,140,152,181.0,236.0,34.0,81.0,False,True
R3-D01,primary,Basketball,435,baseline,1,0.0,0.0,False,118.05888748168951,120.711181640625,81.45191192626953,104.44731140136719,118,120,81,104,182.0,235.0,34.0,81.0,False,True
R3-D02,primary,Bolt,31,whole_mrm1_physical_skip,1,0.0,0.0,True,231.24712371826172,166.9890022277832,30.070648193359375,62.348838806152344,231,166,30,62,329.0,152.0,26.0,61.0,False,True
R3-D02,primary,Bolt,32,whole_mrm1_physical_skip,1,0.0,0.0,True,230.33982849121094,165.56290817260742,33.530548095703125,61.61078643798828,230,165,33,61,330.0,153.0,26.0,61.0,False,True
R3-D02,primary,Bolt,33,whole_mrm1_physical_skip,1,0.0,0.0,True,226.99518585205078,163.75757789611816,36.85176086425781,63.81869125366211,226,163,36,63,331.0,152.0,26.0,61.0,False,True
R3-D02,primary,Bolt,34,whole_mrm1_physical_skip,1,0.0,0.0,True,232.11343383789062,168.50390625,29.881668090820312,56.59214782714844,232,168,29,56,333.0,152.0,26.0,61.0,False,True
R3-D02,primary,Bolt,35,whole_mrm1_physical_skip,1,0.0,0.0,True,233.61295318603516,169.21355056762695,27.246414184570312,58.42668914794922,233,169,27,58,333.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,36,whole_mrm1_physical_skip,1,0.0,0.0,True,233.30510711669922,164.76330375671387,28.963470458984375,61.73134231567383,233,164,28,61,333.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,37,whole_mrm1_physical_skip,1,0.0,0.0,True,225.5394992828369,163.21495819091797,37.96747970581055,62.54280090332031,225,163,37,62,333.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,38,whole_mrm1_physical_skip,1,0.0,0.0,True,233.51161766052246,166.84867477416992,32.495975494384766,53.420204162597656,233,166,32,53,332.0,152.0,26.0,61.0,False,True
R3-D02,primary,Bolt,39,whole_mrm1_physical_skip,1,0.0,0.0,True,236.00574016571045,166.46058082580566,28.507532119750977,60.355831146240234,236,166,28,60,333.0,151.0,26.0,61.0,False,True
R3-D02,primary,Bolt,40,whole_mrm1_physical_skip,1,0.0,0.0,True,234.1063404083252,167.91356086730957,29.783367156982422,58.40920639038086,234,167,29,58,333.0,151.0,26.0,61.0,False,True
R3-D02,primary,Bolt,41,whole_mrm1_physical_skip,1,0.0,0.0,True,232.06295204162598,162.36503219604492,34.17216110229492,62.887779235839844,232,162,34,62,336.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,42,whole_mrm1_physical_skip,1,0.0,0.0,True,237.6765432357788,165.29314804077148,26.076677322387695,59.204200744628906,237,165,26,59,333.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,43,whole_mrm1_physical_skip,1,0.0,0.0,True,234.4706563949585,165.87924194335938,26.605974197387695,59.44390869140625,234,165,26,59,332.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,44,whole_mrm1_physical_skip,1,0.0,0.0,True,235.83121967315674,163.2338523864746,25.647375106811523,62.037071228027344,235,163,25,62,333.0,151.0,26.0,61.0,False,True
R3-D02,primary,Bolt,45,whole_mrm1_physical_skip,1,0.0,0.0,True,234.8186492919922,166.4756088256836,27.49041748046875,56.980804443359375,234,166,27,56,333.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,46,whole_mrm1_physical_skip,1,0.0,0.0,True,227.99465370178223,165.72237586975098,32.29433822631836,57.509395599365234,227,165,32,57,333.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,47,whole_mrm1_physical_skip,1,0.0,0.0,True,223.99606132507324,164.88109397888184,36.4876594543457,60.7237434387207,223,164,36,60,334.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,48,whole_mrm1_physical_skip,1,0.0,0.0,True,228.22216987609863,163.50299835205078,32.36117172241211,55.823699951171875,228,163,32,55,333.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,49,whole_mrm1_physical_skip,1,0.0,0.0,True,231.46105480194092,162.5250644683838,29.19034767150879,61.80147933959961,231,162,29,61,333.0,151.0,26.0,61.0,False,True
R3-D02,primary,Bolt,31,baseline,1,0.0,0.0,False,229.76165008544922,164.9079418182373,32.418182373046875,63.763553619384766,229,164,32,63,329.0,152.0,26.0,61.0,False,True
R3-D02,primary,Bolt,32,baseline,1,0.0,0.0,False,230.90678596496582,163.1867561340332,33.736812591552734,65.36588287353516,230,163,33,65,330.0,153.0,26.0,61.0,False,True
R3-D02,primary,Bolt,33,baseline,1,0.0,0.0,False,229.3587408065796,164.99927520751953,30.855745315551758,62.516448974609375,229,164,30,62,331.0,152.0,26.0,61.0,False,True
R3-D02,primary,Bolt,34,baseline,1,0.0,0.0,False,231.75407600402832,164.7424659729004,31.251750946044922,63.968849182128906,231,164,31,63,333.0,152.0,26.0,61.0,False,True
R3-D02,primary,Bolt,35,baseline,1,0.0,0.0,False,233.71285724639893,166.92733573913574,28.699377059936523,61.759708404541016,233,166,28,61,333.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,36,baseline,1,0.0,0.0,False,231.42708683013916,168.50043296813965,29.455228805541992,57.93570327758789,231,168,29,57,333.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,37,baseline,1,0.0,0.0,False,226.90012550354004,163.53845024108887,39.47101974487305,62.91444778442383,226,163,39,62,333.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,38,baseline,1,0.0,0.0,False,231.49182319641113,164.59922409057617,33.32920455932617,54.789955139160156,231,164,33,54,332.0,152.0,26.0,61.0,False,True
R3-D02,primary,Bolt,39,baseline,1,0.0,0.0,False,235.1660032272339,167.17580223083496,30.363916397094727,62.151554107666016,235,167,30,62,333.0,151.0,26.0,61.0,False,True
R3-D02,primary,Bolt,40,baseline,1,0.0,0.0,False,230.9418182373047,166.04047012329102,33.530548095703125,61.61078643798828,230,166,33,61,333.0,151.0,26.0,61.0,False,True
R3-D02,primary,Bolt,41,baseline,1,0.0,0.0,False,232.07039833068848,164.22334480285645,32.99435043334961,61.48972702026367,232,164,32,61,336.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,42,baseline,1,0.0,0.0,False,236.15936374664307,164.0276107788086,26.920469284057617,61.51179504394531,236,164,26,61,333.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,43,baseline,1,0.0,0.0,False,233.70136547088623,164.80437660217285,30.2148380279541,58.54197311401367,233,164,30,58,332.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,44,baseline,1,0.0,0.0,False,234.1877851486206,165.56463623046875,28.199609756469727,58.64826965332031,234,165,28,58,333.0,151.0,26.0,61.0,False,True
R3-D02,primary,Bolt,45,baseline,1,0.0,0.0,False,234.24505424499512,163.8156681060791,29.506534576416016,62.8888053894043,234,163,29,62,333.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,46,baseline,1,0.0,0.0,False,228.6269245147705,162.25727081298828,33.33784103393555,61.25669860839844,228,162,33,61,333.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,47,baseline,1,0.0,0.0,False,222.8105754852295,162.0037498474121,36.6492805480957,63.468040466308594,222,162,36,63,334.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,48,baseline,1,0.0,0.0,False,229.00458526611328,166.59615325927734,32.140716552734375,52.67723083496094,229,166,32,52,333.0,150.0,26.0,61.0,False,True
R3-D02,primary,Bolt,49,baseline,1,0.0,0.0,False,229.83587074279785,162.58479690551758,30.99197006225586,66.34070587158203,229,162,30,66,333.0,151.0,26.0,61.0,False,True
R3-D05,primary,Car4,113,whole_mrm1_physical_skip,1,0.8761904761904762,0.8598799288838967,True,76.34430313110366,55.85975265502944,90.96712493896484,77.06153106689453,76,55,90,77,76.0,59.0,88.0,69.0,False,True
R3-D05,primary,Car4,114,whole_mrm1_physical_skip,1,0.9093391589295466,0.902267677196625,True,76.0596084594728,54.04761886596694,92.34541320800781,78.22913360595703,76,54,92,78,74.0,57.0,92.0,74.0,False,True
R3-D05,primary,Car4,115,whole_mrm1_physical_skip,1,0.9533788914198937,0.9132639311007357,True,79.90095138549819,57.238914489746236,88.64038848876953,74.69355773925781,79,57,88,74,78.0,57.0,87.0,73.0,False,True
R3-D05,primary,Car4,116,whole_mrm1_physical_skip,1,0.8892351274787536,0.891596485047831,True,78.45186996459975,55.27044296264663,86.48633575439453,77.22171783447266,78,55,86,77,75.0,59.0,92.0,73.0,False,True
R3-D05,primary,Car4,117,whole_mrm1_physical_skip,1,0.8714505525248286,0.898502488771917,True,78.61029815673842,57.944595336914205,89.02113342285156,73.3631591796875,78,57,89,73,75.0,60.0,93.0,74.0,False,True
R3-D05,primary,Car4,118,whole_mrm1_physical_skip,1,0.8234205656886069,0.8154868568954113,True,74.39106369018569,54.75659942626967,97.93976593017578,78.00312805175781,74,54,97,78,77.0,60.0,89.0,70.0,False,True
R3-D05,primary,Car4,119,whole_mrm1_physical_skip,1,0.8562933597621407,0.8648037541924463,True,82.9382476806642,56.62268447875991,84.94003295898438,77.20171356201172,82,56,84,77,76.0,61.0,91.0,73.0,False,True
R3-D05,primary,Car4,120,whole_mrm1_physical_skip,1,0.9416112342941612,0.9803273157440353,True,75.4222564697267,62.718345642089986,92.86148071289062,71.13783264160156,75,62,92,71,76.0,63.0,93.0,71.0,False,True
R3-D05,primary,Car4,121,whole_mrm1_physical_skip,1,0.8479806598407281,0.8538819542831546,True,77.31431961059585,59.02820968627944,89.86449432373047,76.12744903564453,77,59,89,76,76.0,64.0,93.0,67.0,False,True
R3-D05,primary,Car4,122,whole_mrm1_physical_skip,1,0.8602385107620709,0.8871027970195511,True,77.19416809082045,62.4663467407228,91.5811767578125,68.74134826660156,77,62,91,68,76.0,65.0,93.0,71.0,False,True
R3-D05,primary,Car4,123,whole_mrm1_physical_skip,1,0.8631875881523272,0.8589744186697092,True,78.54944229125991,59.00116729736342,90.39061737060547,75.69657897949219,78,59,90,75,77.0,64.0,95.0,68.0,False,True
R3-D05,primary,Car4,124,whole_mrm1_physical_skip,1,0.902797400395592,0.8873527334094387,True,79.51372528076186,58.68806076049819,91.24278259277344,77.29505157470703,79,58,91,77,78.0,64.0,91.0,71.0,False,True
R3-D05,primary,Car4,125,whole_mrm1_physical_skip,1,0.9011520409614564,0.8859055792543831,True,80.37426376342788,59.038955688476705,89.13928985595703,79.59048461914062,80,59,89,79,80.0,63.0,88.0,72.0,False,True
R3-D05,primary,Car4,126,whole_mrm1_physical_skip,1,0.8563300142247511,0.8677769428868228,True,82.59485626220717,63.18960571289077,86.20124816894531,70.77011108398438,82,63,86,70,78.0,62.0,95.0,74.0,False,True
R3-D05,primary,Car4,127,whole_mrm1_physical_skip,1,0.9220023282887078,0.925828009757275,True,81.88824844360366,62.35971069335952,88.9693832397461,74.50637817382812,81,62,88,74,80.0,64.0,93.0,72.0,False,True
R3-D05,primary,Car4,128,whole_mrm1_physical_skip,1,0.896566401816118,0.9032533654741016,True,80.79112625122085,61.048442840576314,89.86449432373047,76.12744903564453,80,61,89,76,80.0,65.0,93.0,71.0,False,True
R3-D05,primary,Car4,129,whole_mrm1_physical_skip,1,0.8468674182959898,0.8413899676459485,True,82.03815460205092,61.85047531127944,91.24278259277344,77.29505157470703,82,61,91,77,83.0,68.0,86.0,69.0,False,True
